Statistic Type, Time (min), Run 0, Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Mean, Std Dev,
Utilization,0,0.534084,0.297312,0.24935,0.378013,0.267279,0.341136,1.49659,0.264853,1.62471,0.432826,0.588616,0.520555, 
,10,0.535345,0.597067,0.153152,0.207801,0.387619,0.576748,1.59835,0.297773,1.24272,0.221175,0.581775,0.476638, 
,20,0.598703,0.482403,0.181552,0.646351,0.682181,0.64795,1.72982,0.363839,1.43716,0.564623,0.733458,0.478003, 
,30,0.198199,0.135867,0.211307,0.0757408,0.077569,0.0784569,0.42115,0.17204,1.30915,0.130277,0.280975,0.375446, 
,40,0.132784,0.0203606,0.222145,0.0879303,0.306337,0.222021,0.26572,0.222944,1.04585,0.0961269,0.262222,0.289445, 
,50,0.29424,0.215813,0.0828495,0.417609,0.226338,0.157161,0.135017,0.0753216,1.07828,0.112786,0.279541,0.299669, 
,60,0.247635,0.771306,0.461695,0.38984,0.443908,0.0820541,0.538419,0.419326,1.29281,0.374223,0.502122,0.330157, 
,70,0.397289,0.599279,0.567575,0.522032,0.43634,0.260055,0.454126,0.454158,1.59631,0.371301,0.565846,0.375112, 
,80,0.447706,0.482487,0.284699,0.580995,0.337392,0.567674,0.327243,0.646655,0.364027,0.213266,0.425214,0.142636, 
,,,,,,,,,,,,,,
Avg Service Time,0,4.06464,4.38761,3.27651,3.87338,2.52768,3.6317,36.2698,3.68117,3.47841,3.19793,6.83888,10.3535, 
,1,0.755993,0,0,0,2.54696,0,0,0,0,0,0.330295,0.814288, 
,2,24.7092,27.3226,14.7113,23.8388,20.8878,19.0097,28.8842,18.8667,21.0531,16.0687,21.5352,4.6366, 
,3,0.282928,0,1.30382,0,0,0,0,0.925629,0,0.633263,0.314564,0.477062, 
,4,0.604988,0,0.377132,0,0.436455,0,0.296062,0,0.846844,0.48547,0.304695,0.300152, 
,5,1.28906,1.72535,0.263203,2.60692,1.35212,2.90704,1.07759,3.03071,83.0754,1.96228,9.92897,25.7157, 
,6,0.298703,0.195686,0.853745,0.628895,1.34056,0.503791,0.817162,0.717753,0.425259,0.427206,0.620876,0.332367, 
,7,0.846539,1.0885,0.785568,1.24954,0.895877,1.71872,1.02295,0.935369,0.324581,0.543871,0.941151,0.380256, 
,8,1.00785,1.2992,2.57201,0.865599,1.66222,1.56166,1.29667,1.01177,0.706451,1.84737,1.38308,0.553545, 
,,,,,,,,,,,,,,
Avg Wait Time,0,0.68096,0.1982,0.196835,0,2.02193,0,0,0.285716,0,0,0.338364,0.62952, 
,1,0,0,0,0,0,0,0,0,0,0,0,0, 
,2,21.4047,19.6346,3.88553,18.4836,9.39705,21.8186,21.5013,7.84022,20.6665,5.47151,15.0104,7.39731, 
,3,0,0,1.36462,0,0,0,0,0.791985,0,0.54435,0.270096,0.477986, 
,4,0,0,0,0,0,0,0,0,0,0,0,0, 
,5,0,1.57324,0,10.7204,0,9.5987,3.28522,1.77827,1.52084,0,2.84766,4.00988, 
,6,2.98078,6.61358,0.356361,0,2.86796,2.87976,0.185093,0.387494,0,0,1.6271,2.18529, 
,7,3.14655,2.21466,0,5.98589,2.28366,0.437096,1.51243,0,3.02363,1.97725,2.05812,1.79578, 
,8,2.68531,0,4.96975,3.88702,0,8.17067,0.183006,2.19615,0,0.0236349,2.21155,2.78339, 
,,,,,,,,,,,,,,
Number In,0,31,33,25,28,18,23,25,27,33,18,26.1,5.44569, 
,1,1,0,0,0,1,0,0,0,0,0,0.2,0.421637, 
,2,23,27,15,19,20,17,31,17,21,13,20.3,5.49848, 
,3,1,0,2,0,0,0,0,1,0,1,0.5,0.707107, 
,4,2,0,2,0,1,0,1,0,3,1,1,1.05409, 
,5,4,6,2,11,4,9,3,10,6,6,6.1,3.03498, 
,6,4,5,8,4,11,3,7,4,3,6,5.5,2.54951, 
,7,11,16,8,12,8,15,9,10,7,9,10.5,3.02765, 
,8,7,3,8,2,6,3,5,6,2,7,4.9,2.23358, 
,,,,,,,,,,,,,,
Number Out,0,31,33,24,28,18,23,24,27,33,18,25.9,5.50656, 
,1,1,0,0,0,1,0,0,0,0,0,0.2,0.421637, 
,2,23,27,15,19,20,17,30,17,21,13,20.2,5.2873, 
,3,1,0,2,0,0,0,0,1,0,1,0.5,0.707107, 
,4,2,0,2,0,1,0,1,0,3,1,1,1.05409, 
,5,4,6,2,11,4,9,3,9,5,6,5.9,2.92309, 
,6,4,5,8,4,11,3,7,4,3,6,5.5,2.54951, 
,7,11,16,8,12,8,15,9,10,7,9,10.5,3.02765, 
,8,6,3,8,2,6,3,5,6,2,7,4.8,2.14994, 
,,,,,,,,,,,,,,
Number Expired,0,0,0,1,0,0,0,1,0,0,0,0.2,0.421637, 
,1,0,0,0,0,0,0,0,0,0,0,0,0, 
,2,0,0,0,0,0,0,0,0,0,0,0,0, 
,3,0,0,0,0,0,0,0,0,0,0,0,0, 
,4,0,0,0,0,0,0,0,0,0,0,0,0, 
,5,0,0,0,0,0,0,0,1,1,0,0.2,0.421637, 
,6,0,0,0,0,0,0,0,0,0,0,0,0, 
,7,0,0,0,0,0,0,0,0,0,0,0,0, 
,8,0,0,0,0,0,0,0,0,0,0,0,0, 
