Interval,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 61,Run 62,Run 63,Run 64,Run 65,Run 66,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 75,Run 76,Run 77,Run 78,Run 79,Run 80,Run 81,Run 82,Run 83,Run 84,Run 85,Run 86,Run 87,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Run 99,Mean, StdDev,
0,35.8084,43.0053,37.0826,50.0196,45.1556,24.6162,32.5241,34.5889,37.2107,32.8695,25.5591,37.2103,48.5413,43.7726,31.8167,40.8984,44.2795,33.2197,45.9529,43.671,40.9954,40.7666,32.0748,32.709,47.8698,31.4078,39.7357,43.995,36.4279,44.7829,43.7757,38.7027,13.4588,32.6711,44.8426,33.0944,50.4864,37.9883,34.1033,39.9092,41.0744,39.0069,37.1155,31.3702,32.0958,31.9043,15.108,34.5725,32.3779,35.3758,40.5956,42.7674,28.2985,43.7011,22.9686,34.2024,38.8423,26.9003,43.2051,40.9723,42.537,17.2468,36.7729,40.3143,53.3247,35.6362,36.0794,30.5972,31.2765,37.8868,38.4737,42.2889,40.0059,39.1922,32.474,48.4551,38.2559,36.1721,32.0087,51.514,36.7197,32.832,34.2405,32.9667,36.9187,44.5215,30.9696,43.3602,29.1077,21.8242,31.134,46.3508,36.4973,31.0638,30.8796,28.5765,22.2696,46.6413,44.7611,45.357,36.8756,7.63763, 
30,0,0,0,0,0,0,0,0,0,5.26426,0,0,0,0.883376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412114,0.133851,0,0,0,0,0,2.24992,0,0,0,2.32951,0,0,0.317752,0,0,0,0,0,2.77827,0,0,0,4.78516,0,0,0,0,0,0.150801,0,0,0,0,0.561352,0,6.37248,0,0,0.927868,0,6.00943,3.62648,0,3.00475,0,0.495625,0,0,0,3.19222,0.257454,3.93113,0.0999832,0,4.18084,0,2.38118,0,0,4.74649,0,0.256564,4.32311,4.43329,1.21019,0,0,3.93482,0.0347519,0.23215,0.731463,1.5679, 
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q0,13.4588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,32.307375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2,37.00065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3,42.826875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4,53.3247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
