Statistic, Task Type,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 61,Run 62,Run 63,Run 64,Run 65,Run 66,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 75,Run 76,Run 77,Run 78,Run 79,Run 80,Run 81,Run 82,Run 83,Run 84,Run 85,Run 86,Run 87,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Run 99,Mean, StdDev,
Processing Time,Comm,0.100475,0.178783,0.126056,0.094438,0.216265,0.109701,0.108563,0.0946553,0.119413,0.155542,0.145498,0.0942934,0.075776,0.0864927,0.109413,0.109349,0.137631,0.216923,0.0997952,0.115045,0.221199,0.138213,0.0993223,0.119499,0.149164,0.204009,0.125917,0.203567,0.210549,0.22144,0.10768,0.142519,0.0887406,0.111522,0.11074,0.317547,0.123418,0.160913,0.141987,0.115715,0.107792,0.138079,0.125496,0.163157,0.120023,0.0724724,0.218616,0.314401,0.148738,0.160556,0.185291,0.101606,0.101695,0.148021,0.114849,0.0847538,0.101602,0.111171,0.148593,0.0898815,0.128982,0.123701,0.10834,0.0876179,0.0862216,0.161914,0.170444,0.103377,0.0895072,0.130977,0.145329,0.136789,0.237604,0.13646,0.129026,0.103553,0.119075,0.124847,0.114874,0.15612,0.170678,0.260876,0.124078,0.0861989,0.202403,0.119844,0.181047,0.172281,0.0859195,0.0823208,0.0925102,0.111879,0.114681,0.109819,0.253314,0.0842163,0.0782748,0.0805181,0.187745,0.262303,0.138202,0.0513511, 
,Excep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
,Paper,1.14153,1.11509,0.988679,0.900619,0.950984,0.907275,0.731146,0.934173,1.15394,1.89859,0.903857,0.972272,1.13544,0.957812,1.01077,0.820024,1.18252,1.11296,1.02286,1.24252,1.17289,1.2097,0.92942,0.822323,1.38577,1.22782,0.838946,1.4112,1.36163,1.36575,0.960109,0.830783,1.04435,0.770872,1.00856,1.25868,1.0622,1.08305,0.723446,1.08707,0.856376,1.15914,1.1848,0.967077,0.961698,0.869316,0.888599,1.06364,0.887225,0.921642,0.85182,0.807173,0.878533,1.11667,0.900091,0.827342,1.08219,0.789271,0.72225,1.04515,1.20126,1.23953,1.03113,0.797142,0.921936,1.08812,0.992833,1.00087,1.07692,1.10292,0.755097,1.1332,1.07865,1.26639,0.8541,1.17453,0.960555,1.02136,1.20537,1.03501,1.01202,1.13155,1.05466,0.885986,0.902986,0.860851,1.02183,0.984067,1.6144,0.734488,0.866909,1.09738,1.36298,1.22386,1.1582,1.15706,1.02984,1.0361,1.35367,1.02159,1.03865,0.193598, 
,MOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
,Temp speed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
,Signal,0.274208,0,0.26261,0.179554,0.180533,0.214403,0.330375,0,0.190526,0.188626,0,0.198009,0,0.294428,0.252875,0.184442,0.1177,0.287778,0,0.247543,0.178107,0,0.141219,0.206395,0.229824,0,0,0.309421,0,0.168366,0.185828,0,0,0.253188,0.170491,0.324318,0.183076,0,0,0,0.241404,0,0,0.197425,0,0,0.246311,0,0.166503,0.278497,0.237197,0.203998,0.254831,0.34094,0.270427,0,0,0.22389,0.161444,0.300996,0.310777,0.351637,0.31519,0,0.185788,0.256442,0,0.287056,0.341752,0,0.304074,0.28068,0.311347,0.269451,0,0,0.332161,0.170897,0,0.203519,0,0.158122,0,0.225101,0.338063,0.232033,0,0.327078,0.169918,0.118203,0,0.122292,0,0.15976,0,0.206782,0.33632,0.191414,0,0,0.153836,0.124657, 
,Mon in,0.130394,0.0432634,0.204011,0.155762,0.0959663,0.106457,0,0.0366586,0.0714556,0.0909643,0.0534308,0.110575,0.0470554,0.265208,0.189792,0.168473,0.0465624,0.249885,0.0350964,0.201571,0.11175,0.0541045,0.0752612,0,0.142929,0.0400271,0.0246525,0,0.0873407,0.129756,0.0737651,0.0511228,0.0724025,0.0983044,0.0416484,0,0.0878974,0.0519774,0.0374322,0.059907,0.190582,0.062219,0.0486953,0.174655,0.0519831,0.0516473,0.133947,0.0879217,0.118082,0.231079,0.0945025,0.0811663,0.0836886,0,0.216643,0.0512513,0.0505129,0.0441149,0.0642223,0,0,0.0496677,0,0.0797294,0.0654562,0.190055,0.0339834,0.130018,0,0.0353698,0,0.131968,0,0.215,0.00980017,0.0764383,0,0.0443319,0.120637,0.135577,0.0642556,0.17978,0.0515228,0.0526519,0,0.0918088,0.0560843,0,0.077508,0.0472388,0.0509363,0.0455329,0.0546897,0.0535687,0.0494826,0.238148,0,0.0799991,0.0648919,0.0660069,0.0802191,0.0647327, 
,Mon out,0.0638642,0.050607,0.0413041,0.0550567,0.12888,0.100634,0.0696963,0.0683025,0.0954352,0.0737477,0.0838909,0.0556385,0.0985572,0.0438105,0.0324459,0.0470976,0.0896026,0.0990506,0.119786,0.0583125,0.10379,0.0605197,0.195631,0.0314715,0.0275461,0.078533,0.0886352,0.0401906,0.0542196,0.0882789,0.107771,0.142197,0.120141,0.0681239,0.268531,0.045621,0.0734578,0.0652206,0.0447639,0.0755186,0.0335002,0.0938823,0.0880761,0.0390441,0.0658007,0.0867987,0.0439998,0.118421,0.00132362,0.130022,0.0425659,0.0492381,0.0385376,0.0688953,0.101407,0.0464257,0.132901,0.05115,0.239891,0.0771148,0.0297895,0.0764694,0.0701768,0.147078,0,0.092937,0.120088,0.08833,0.0911479,0.124834,0.0843297,0.0529419,0.0431037,0.0639781,0.0301684,0.0504302,0.0605444,0.27003,0.0794595,0.0531507,0.119745,0.0126692,0.0938512,0.115949,0.0887501,0.0561054,0.144607,0.0337199,0.0542315,0.14957,0.0679611,0.125632,0.0705579,0.0914468,0.143858,0.0236893,0.065778,0.112647,0.0496913,0.0607065,0.0811503,0.047628, 
,Plan,0.277652,0.106301,0.256172,0.194633,0.103663,0.153613,0,0,0.0619766,0.0953531,0,0.0602234,0.0377988,0.318808,0.239163,0.211896,0.0463037,0.304699,0,0.25332,0.0898385,0,0.103358,0,0.176453,0.00514265,0,0,0,0.0673717,0.0660067,0,0.104544,0.239697,0.10205,0,0.160866,0.02718,0.000290785,0.0152907,0.240133,0.0481269,0.0211784,0.22002,0,0.0595629,0.163283,0.0809877,0.163624,0.285962,0.0933875,0.101054,0.242511,0,0.270495,0,0.0938602,0.193164,0.0748017,0,0,0,0,0,0.141059,0.239486,0,0.152503,0,0,0,0.290276,0,0.268673,0,0.145728,0,0.11531,0.0189863,0.1657,0.0870008,0.226621,0,0.0661767,0,0.0787787,0.0675202,0,0.152311,0.0710195,0,0.0795476,0,0.149499,0,0.293191,0,0.0767802,0,0.00150873,0.0911949,0.0973832, 
Wait Times,0,0.31571,1.33963,1.59696,3.81936,0,0.992668,2.23501,1.90983,1.20657,1.10455,0.809649,2.63647,3.0827,2.9994,2.05152,0.16929,0.566187,0.526569,1.27872,0.73624,1.88335,5.51531,1.32159,0.980458,0.0337486,0.144058,2.84458,0.34144,0.213017,0.545872,3.32397,3.3804,2.29266,0.770009,0.195873,0.646528,1.99077,2.5309,1.12904,3.87722,1.6926,0.108673,0.505369,2.15295,0.483961,2.88969,0.445386,1.51321,0.669513,0.0930634,2.90262,4.86129,1.20955,0,2.87194,1.3672,2.29343,0.225965,2.47432,1.91212,1.8967,0.344075,4.8668,1.95298,1.40624,2.08576,1.26625,0.383181,3.43924,1.75067,2.83521,3.2229,0.221455,0.391949,3.20651,2.78127,3.90297,1.46166,1.04337,0.580976,2.63996,0.437965,0,2.53527,2.69013,3.45451,2.21052,0.226899,4.23557,1.01108,2.80358,2.36708,4.20276,2.06805,0.388388,2.06857,1.92632,5.31949,0,1.2398,1.74877,1.33723, 
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
,2,0.0726762,3.14754,1.33917,6.06714,0.486765,1.34763,3.8618,5.64423,2.12739,0,4.24484,5.43582,1.628,3.44564,1.12166,5.09176,1.42406,1.46838,4.16606,1.37432,2.79906,0.543541,1.30379,3.99047,0,2.56667,6.52574,1.06491,0.952225,0.79796,2.31557,3.77583,1.92553,4.23442,1.97121,1.39617,3.01899,4.11674,7.57547,2.53703,6.20837,1.90253,0.505608,2.59704,2.48714,4.52584,1.96905,2.58835,3.04004,1.49588,2.3875,6.15559,3.33389,0.421136,5.5263,3.33198,0.963403,4.59444,4.68298,2.37857,1.87982,1.00643,1.04841,3.12534,2.3484,1.01502,2.32803,0.105261,2.85588,1.60325,3.34932,0.381695,1.58241,1.05691,6.03736,0.527294,3.67364,1.77186,0.952802,1.93006,3.23333,0.802841,1.11141,4.68615,1.89329,2.63465,3.16894,3.53955,0.0350494,3.26291,3.70685,1.70472,0.0276265,1.38654,1.4498,1.94182,0.99883,3.71081,1.52097,4.66817,2.52065,1.71232, 
,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
,5,1.03826,0,0,0,0,2.9714,0,0,0,0,0,0.783832,0,0.081501,0.482052,0.607253,0,0,0,0.211708,3.83226,0,0,0.634508,0.0997105,0,0,0,0,0,3.40864,0,0,1.98498,0,0,0,0,0,0,3.1001,0,0,1.30403,0,0,0.224257,0,0.290743,0,0,0,0,0,0.964725,0,0,0,0,0,0,0.133022,0,0,0.0422616,0.461748,0,1.53929,0.656025,0,0,0,0,0,0,0,0,0,0,0.894861,0,0.495539,0,0.038798,0.364201,0,0,0,0.473855,0,0,0,0,0,0,1.30552,0,0.853165,0,0,0.292782,0.728261, 
,6,1.80913,1.94679,0,0,0,0.138044,0,2.11144,2.45066,0,0,1.09679,2.22015,0,0.816059,1.27444,1.78395,0.270889,0.782136,0,0,1.5671,0,0,0.697886,1.43003,0,0,0,2.58639,1.15378,1.50818,1.50233,4.02127,0.299604,0,1.04181,1.27798,2.8065,3.22631,0,1.99344,0.869851,0,3.98318,2.95882,0,1.47343,0,0.315109,0.965208,0,0.222609,0,0,0.0115318,0.72848,0.784885,1.17263,0,0,0.123275,0,1.41465,4.17954,0,1.77536,0,0,2.18061,0,1.35235,0,0,0,1.05097,0,2.51805,1.68877,0.087266,0.805368,0,0,2.15663,0,1.13303,0.680889,0,1.06206,4.36204,5.9082,1.62907,0.494581,3.67522,0,0.0881786,0,1.55134,0,1.77617,0.969924,1.22803, 
