Statistic, Task Type,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 61,Run 62,Run 63,Run 64,Run 65,Run 66,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 75,Run 76,Run 77,Run 78,Run 79,Run 80,Run 81,Run 82,Run 83,Run 84,Run 85,Run 86,Run 87,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Run 99,Mean, StdDev
Processing Time,0,1.2919, 1.21332, 1.05039, 1.28217, 1.22979, 1.26625, 1.26042, 1.03739, 0.929061, 0.934427, 1.16949, 1.20794, 1.16136, 0.996477, 1.30177, 1.22136, 1.30055, 1.11318, 1.25108, 1.18075, 1.22784, 1.30274, 1.26505, 1.08438, 1.3041, 1.08857, 1.29025, 1.28356, 1.27631, 1.31342, 1.32668, 1.20891, 0.324633, 1.32159, 1.28278, 1.11725, 1.32081, 1.17491, 1.00386, 1.17371, 0.693066, 1.22274, 1.28993, 1.29942, 1.0831, 1.25611, 1.28295, 1.31799, 1.16876, 1.20156, 1.29463, 1.17522, 1.32285, 1.19624, 1.2792, 1.31696, 1.31133, 0.830507, 1.27398, 0.91895, 1.1405, 1.20476, 1.18518, 1.23721, 1.29535, 1.29921, 1.21882, 1.32651, 1.17537, 1.05427, 1.19881, 1.17422, 1.24421, 1.25855, 1.21947, 1.32588, 1.32414, 0.785014, 0.937147, 1.25966, 1.15212, 1.27102, 1.22947, 1.11534, 1.29308, 1.1803, 1.27007, 1.29674, 1.30715, 1.24437, 0.890822, 1.25617, 1.21678, 1.26414, 1.14626, 1.29285, 1.28628, 1.26322, 0.995256, 1.25759, 1.18919, 0.155453, 
,1,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
,2,6.58595, 9.04068, 13.2795, 6.06941, 6.77002, 7.71269, 6.80084, 9.28899, 12.9285, 14.4642, 10.6092, 8.35283, 8.14761, 10.6516, 5.34607, 9.68857, 7.31967, 7.87974, 10.9212, 9.33887, 10.6282, 10.9134, 8.16584, 6.1338, 9.1792, 13.0272, 9.14556, 6.89776, 9.41851, 3.43136, 10.6487, 11.571, 9.31649, 7.92122, 10.74, 8.98454, 10.212, 13.6769, 9.86731, 10.6984, 11.1944, 9.42581, 8.00798, 6.86292, 10.9014, 8.63773, 9.44888, 9.20359, 9.88037, 9.27771, 11.2682, 8.86945, 7.89989, 6.24427, 11.2092, 8.6454, 12.4066, 7.49542, 9.7027, 9.40636, 6.1256, 11.9527, 10.3348, 7.29641, 6.54506, 9.40564, 9.33496, 7.70902, 9.95974, 13.7907, 8.54826, 6.88749, 10.1372, 9.80863, 7.84289, 10.4697, 11.3748, 12.0971, 10.7429, 11.747, 10.7322, 8.70175, 8.08452, 9.83078, 10.0967, 11.9909, 6.71022, 12.0048, 11.1838, 10.9088, 10.5925, 9.29448, 7.51274, 8.36809, 10.9541, 11.4907, 9.27522, 9.63732, 6.39634, 9.69132, 9.4333, 2.02369, 
,3,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
,4,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
,5,0, 0.221748, 0.204192, 0.310622, 0.451485, 0.545386, 0, 0.324705, 0.340631, 0.320139, 0.349348, 0, 0.278198, 0.173036, 0, 0.311187, 0.293056, 0.129767, 0.692751, 0, 0.301934, 0, 0.344225, 0, 0, 0.21321, 0.312823, 0.500324, 0.224566, 0, 0, 0, 0.289323, 0, 0, 0.566266, 0.412737, 0.183364, 0, 0.263974, 0, 0.586603, 0, 0, 0.159874, 0.287816, 0.313091, 0.272351, 0, 0.291553, 0, 0, 0, 0.352171, 0, 0.188888, 0, 0.329577, 0.285053, 0.597065, 0, 0.323634, 0.321045, 0.300069, 0.458535, 0.30852, 0.173181, 0.526289, 0.350987, 0.188104, 0.403249, 0.322944, 0, 0, 0, 0.222799, 0, 0.543953, 0.268351, 0.277711, 0, 0.305566, 0.485592, 0.102324, 0, 0.309134, 0, 0.383258, 0.457367, 0.265002, 0, 0.172936, 0.170277, 0.466552, 0.297381, 0.470603, 0, 0.359984, 0.667105, 0, 0.221255, 0.191395, 
,6,0.0867992, 0.223367, 0.194353, 0, 0.139949, 0.251333, 0.052246, 0, 0, 0, 0.19199, 0.225266, 0.230515, 0.15149, 0.237036, 0, 0.204106, 0.11089, 0.228423, 0.137209, 0, 0.256981, 0.254886, 0.0990648, 0.151074, 0.242232, 0, 0.16247, 0.262689, 0.249883, 0.0558226, 0.117434, 0.253292, 0.0567762, 0.00656914, 0.209197, 0, 0.262004, 0.154334, 0.238842, 0.155701, 0.169125, 0.236307, 0.19072, 0.164878, 0.254112, 0, 0.25111, 0.0309859, 0.262397, 0.246268, 0.134008, 0.0587317, 0.0734233, 0.192439, 0.237655, 0.0762109, 0, 0.244082, 0.0709695, 0.0140849, 0, 0, 0, 0.155511, 0, 0.161708, 0.263643, 0.244361, 0.249178, 0.128655, 0, 0.023387, 0.224602, 0.207695, 0.179843, 0.125269, 0.135117, 0.241377, 0.229603, 0.172144, 0, 0.244867, 0.0820322, 0.0109389, 0, 0.11469, 0.0960632, 0, 0.207751, 0.0389937, 0.22765, 0.156799, 0.10227, 0.209188, 0.117063, 0.253691, 0.262574, 0.0788473, 0.246275, 0.139535, 0.0950893, 
,7,0.280013, 0.23499, 0.25495, 0.207749, 0.26954, 0.165872, 0.155915, 0.161817, 0.145076, 0.273342, 0.262693, 0.133264, 0.290396, 0.278328, 0.197615, 0.0963239, 0.26353, 0.287318, 0.00169794, 0.231568, 0.273811, 0.121313, 0.299217, 0.230339, 0.172661, 0.154603, 0.197881, 0.207152, 0.282134, 0.172675, 0.178231, 0.275454, 0.295778, 0.16223, 0.110867, 0.276615, 0.0303853, 0, 0.159742, 0.196112, 0.246312, 0.185606, 0.150848, 0.1151, 0.235661, 0.152984, 0.208715, 0.299941, 0.298864, 0.292219, 0.295209, 0.238971, 0.224571, 0.251414, 0.0706733, 0, 0.266669, 0.0978995, 0.229363, 0.204147, 0.294053, 0.199643, 0.202827, 0.0880037, 0.136936, 0.299695, 0.278912, 0.223964, 0.239878, 0, 0, 0.287422, 0.288973, 0.0902945, 0.279598, 0.269343, 0.0930335, 0.170931, 0.110919, 0.259787, 0.152427, 0.0645325, 0.137478, 0.231248, 0.292506, 0.288042, 0.299473, 0.297806, 0.0396284, 0.244706, 0.173346, 0.277922, 0.26775, 0.245676, 0, 0, 0.235514, 0.267797, 0.206874, 0.212207, 0.198035, 0.0871627, 
,8,0, 0.190005, 0.273593, 0, 0.172124, 0.0535519, 0.0276695, 0, 0, 0, 0, 0, 0.285376, 0.195365, 0, 0, 0.312886, 0.276633, 0.165628, 0, 0, 0, 0.209736, 0, 0, 0.247191, 0, 0.203836, 0.321367, 0.00907129, 0.0341614, 0.114393, 0.307924, 0.0358844, 0, 0.262141, 0, 0.267532, 0, 0.308085, 0, 0.212761, 0.0164173, 0.278438, 0.166306, 0.304778, 0, 0.320086, 0, 0.312633, 0.289961, 0, 0.0394072, 0, 0, 0.243907, 0, 0, 0.299086, 0.0611258, 0, 0, 0, 0, 0.194286, 0, 0.218769, 0.0988277, 0, 0.325218, 0.155353, 0, 0, 0, 0.0184447, 0.226515, 0, 0.165018, 0.287075, 0.284425, 0, 0, 0.299854, 0.0648605, 0, 0, 0.142637, 0.103823, 0, 0.260489, 0.00321323, 0.125188, 0.209215, 0.113987, 0.315265, 0.137551, 0.314319, 0.115899, 0.0748013, 0.0433059, 0.111174, 0.122203, 
Wait Times,0,3.59809, 3.24281, 3.48539, 2.23222, 1.53079, 3.83555, 0.0303903, 2.14545, 3.85447, 2.24129, 1.70557, 2.28659, 0.960908, 0.646616, 0.519008, 3.0746, 0, 1.59189, 1.34923, 1.4013, 4.9525, 0.167473, 5.74613, 0, 3.11045, 1.11784, 2.31927, 2.07682, 0.675041, 0.591798, 1.11358, 2.11874, 0, 3.74961, 1.21646, 1.13547, 0.738055, 2.98153, 4.84623, 2.63528, 0.193108, 0.26633, 6.417, 0.958235, 1.25792, 1.77247, 0.767265, 2.3299, 0.403337, 0.899402, 0.421289, 1.23193, 7.40807, 1.7898, 3.61319, 1.51143, 2.96117, 1.35644, 4.18759, 0.0881605, 0.391706, 2.71043, 2.74288, 6.76576, 2.33701, 1.71512, 2.19774, 3.20467, 8.75082, 1.00825, 1.11652, 0.29229, 4.16256, 0.202844, 1.84441, 1.42547, 1.52882, 2.73201, 2.27279, 1.09213, 1.13206, 0.868953, 1.24924, 2.96109, 1.30251, 0.264771, 0.053503, 5.16909, 0.354956, 3.02977, 1.36826, 3.06794, 0, 0.990826, 3.40772, 1.24165, 5.26628, 3.92702, 2.54813, 3.80399, 2.11361, 1.74487, 
