 Task Type,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 61,Run 62,Run 63,Run 64,Run 65,Run 66,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 75,Run 76,Run 77,Run 78,Run 79,Run 80,Run 81,Run 82,Run 83,Run 84,Run 85,Run 86,Run 87,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Run 99,Mean, StdDev,
AVG PROCESS TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 (Comm),0.184475,0.105041667,0.152202857,0.103035,0.126767778,0.068223125,0.11044,0.105058333,0.129658,0.097158333,0.091591429,0.104728333,0.084732556,0.132859,0.100658,0.107275833,0.100393333,0.16506375,0.099491538,0.178388571,0.207908333,0.142724667,0.077421765,0.144194444,0.15537,0.108955833,0.217068333,0.1436125,0.102535444,0.088453333,0.082703125,0.1492475,0.0883975,0.082335714,0.098737273,0.13296,0.182053333,0.105718333,0.117727,0.101076154,0.1585675,0.086931538,0.109732,0.106124545,0.129395556,0.16293,0.132688889,0.08839,0.082799375,0.093275,0.257338,0.11265,0.155355,0.24333,0.109973,0.0821875,0.131724,0.099028462,0.107261667,0.160697143,0.126954,0.142166667,0.119894444,0.126407286,0.146713333,0.18936,0.087972667,0.103371667,0.113083636,0.116001818,0.187802857,0.15938375,0.109541818,0.15614875,0.2597425,0.12058,0.140325556,0.128928,0.0817925,0.117681,0.147638889,0.16293625,0.1106125,0.083382857,0.090976364,0.144283333,0.174641429,0.094527273,0.13617875,0.142096667,0.155448571,0.189365714,0.104881667,0.123984143,0.209748333,0.075042667,0.120676667,0.117908182,0.112399091,0.16581125,0.12883215,0.039507522, 
1 (Except),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2 (Paper),1.048787778,0.8863,1.098178889,0.877526667,0.77218,1.3858525,0.929134444,1.346636667,1.029145556,0.8061325,1.119656,0.987764444,0.735861111,0.967691667,1.14669,0.9116,1.022945455,1.361416667,0.7381875,1.041563636,0.868441667,0.958863636,0.906515,1.020805714,0.887335714,0.99548875,0.781046154,0.878846154,1.22522,0.808485714,0.935266667,1.089652222,1.99906,1.106198571,0.7583875,1.10911375,0.84631875,0.993521,1.06244875,0.788492857,0.72418,1.128566667,1.14082375,1.29404,0.838294444,1.544168,1.4624,0.983826667,1.208598571,1.439375,0.954463636,0.887125,1.417083333,0.961041667,0.817473333,0.93784,0.898857273,1.201336,1.048909091,1.0678,0.835861538,1.550675,1.10776625,1.103826667,0.85156875,1.02688,0.823260909,1.054628571,1.179075714,1.21951625,1.16077,0.894853846,1.21429625,0.952072727,1.170985714,0.818486667,1.1712075,1.512213333,1.479486,0.776866667,1.44338,1.030657778,1.411555,0.892113333,1.04826,0.885861538,0.9962575,0.936033333,1.33802,1.637825,1.133924286,0.874621429,1.02473,0.946649,1.552074,1.12007,1.614813333,0.84698,0.939516667,1.079190909,1.068457939,0.239981107, 
3 (MOW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
4 (Speed),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
5 (Signal),0,0.229273,0,0.313045,0.104222,0,0,0.17354225,0.310852,0.337893,0.1960715,0.24376,0.337871,0.18624,0.323153,0.2668,0.201462,0.323819,0.190794,0,0.346912,0.1498475,0.247506,0.17984975,0.158134,0,0,0.183317,0,0.1497135,0,0.125225,0.178446667,0.239001,0,0.346126,0,0,0.346441,0,0,0,0.227731,0,0.15839,0,0.332936,0,0.1719375,0.135026,0,0.27544,0,0,0.266991,0,0,0.2469245,0,0.347723,0.330921,0.152096,0.292038,0.176583,0.285773,0.248409,0.332084,0.335341,0,0,0,0.183858,0.29011,0.168683333,0,0.210989,0.132813,0,0.197766,0.164797,0.143261,0,0,0.241571,0,0.128217,0.218252,0.168604,0.22031,0,0,0,0,0,0,0,0.151143,0.13339,0.234866,0,0.136942915,0.125039093, 
6 (Mon In),0.0555195,0.083723,0.01420975,0,0.074934,0.0606545,0.0478668,0.069628,0,0,0.0846414,0.111258,0,0.064039,0,0.210633,0.0723122,0,0.0522085,0.027347857,0,0.1075775,0.1132185,0.066774667,0.059098667,0.0237719,0.068312333,0.07696,0.0485926,0.1062705,0.059814333,0.03600075,0.0950565,0.17184,0.021933375,0,0.0502495,0.0370981,0,0.0294369,0.0321694,0.034237333,0.079859,0.1143405,0.1114315,0.117119,0,0.0449112,0.0723102,0.044389,0.090379,0.1144705,0.012665733,0.084892,0.210942,0.036831667,0.05535475,0.127933,0.0354966,0,0,0.067581333,0.259495,0.129364,0.245592,0.1085835,0,0,0.0248848,0.1239945,0.069488,0.151986,0.25506,0.1224735,0.083503333,0.167136,0.054755,0.055617,0.0671509,0.1279935,0.096281,0.0632945,0.060538667,0.174988,0.064949,0.04416495,0.083032,0.04635225,0.149972,0.0253518,0.036214,0.045059,0.075388667,0.0258743,0.072023,0.087474,0.060372333,0.0988405,0.059007,0.0496784,0.071542277,0.056926267, 
7 (Mon Out),0.0855372,0.046111167,0.0736625,0.0489195,0.148599,0.06405975,0.074362667,0.1067955,0.097823333,0.0656885,0.1128325,0.28927,0.072153667,0,0.062814667,0.071125333,0.096013,0.0382725,0,0.101971,0.047162167,0.079143,0.0539784,0.182742,0.231172,0.042396333,0.086587,0,0.073286,0,0.069802,0.170724,0.1226265,0.092685333,0.0723805,0.0375204,0.100208,0.077788,0.069232,0.0578568,0.052958667,0.117253,0.1045675,0.0501536,0.090935,0.0723735,0.0268215,0.077358333,0.094073333,0.143205,0.070701333,0.0322386,0.0708715,0.063806333,0.0287914,0.07103925,0.075532,0,0.073042,0.0705605,0.036812375,0.216991,0.1127425,0.07460275,0.073333667,0.0650025,0.0581335,0.05524375,0.069485,0.0429501,0.0567198,0.0314682,0.113844,0.00462102,0.085275667,0.040335,0.14309,0.0503535,0.060542333,0.143659,0.0908215,0.078439,0.117505,0.02830605,0.095513667,0.12496,0.0458162,0.261844,0.04391875,0.0578395,0.0610992,0.0692025,0.043471667,0.039519833,0.03089675,0.0558186,0.214926,0.275502,0.0513455,0.1153945,0.081469304,0.055395732, 
8 (Plan),0,0.082791,0,0,0.105374333,0.125513,0.0196572,0.0587729,0,0,0.0847026,0.128416,0,0.141631,0,0.263772,0.0634737,0,0.140929,0,0,0.0738624,0.103442333,0.1334105,0.042883333,0,0,0.095789667,0.0209898,0.1587315,0.042538333,0.085009,0.102159,0.216343,0,0,0.052823,0,0,0,0,0.0388511,0.1648055,0,0.107061,0.0232772,0,0,0.0634702,0.0580225,0,0.280018,0,0,0.264122,0,0,0.154262,0,0,0,0.1106875,0.313667,0.179914,0.300561,0.141352,0,0,0,0,0,0.189362,0.309578,0.18144,0,0.210115,0.105225,0.110757,0.0544101,0.213727,0.150069,0.0394704,0.1031695,0.220453,0.0750465,0.0752511,0.0996465,0.120007,0.186523,0,0,0,0.084424333,0,0.134213,0.1364305,0.101585,0.148916,0.125933,0,0.077188375,0.084768114, 
