Interval,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 61,Run 62,Run 63,Run 64,Run 65,Run 66,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 75,Run 76,Run 77,Run 78,Run 79,Run 80,Run 81,Run 82,Run 83,Run 84,Run 85,Run 86,Run 87,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Run 99,Mean, StdDev,
0,84.9397,97.4036,98.3332,96.4339,97.3317,94.8041,88.9061,94.6249,96.4107,87.639,95.5842,95.7376,94.8096,94.8366,97.9549,88.0674,83.945,93.6189,95.3238,93.936,95.2357,98.8384,92.5365,94.2779,97.3403,95.8581,93.4606,96.3115,87.8009,97.0243,91.0043,95.3598,96.5955,97.4148,89.548,84.568,94.7129,92.6101,95.3253,94.7571,91.9193,85.3366,93.8253,96.0739,90.556,94.1986,89.8813,96.4349,87.9719,89.8352,95.6741,95.0226,96.1983,93.5391,96.2877,97.5635,93.8214,97.1878,93.3505,95.4596,92.687,91.9546,95.7095,97.4528,93.3144,89.1136,93.9256,97.5112,94.2665,88.8374,87.2157,86.6654,88.6047,96.9918,85.9257,94.3042,87.0782,97.5292,97.2585,85.3647,97.6152,83.6936,94.5124,95.9312,94.935,94.9522,96.0791,95.8423,94.1453,91.9846,95.6941,95.3795,88.4038,88.6719,97.6319,94.5821,95.8456,94.4182,92.5446,97.217,93.4315,3.81973, 
30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83.1778,100,100,100,100,94.9661,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.7814,1.75105, 
60,66.213,86.4814,83.5807,86.8943,26.4128,58.0699,76.6364,50.649,90.367,41.8179,35.6456,85.1103,22.6633,90.5243,60.6579,82.4265,96.3606,93.1401,63.9305,53.9692,89.423,89.2348,90.8046,98.0133,99.2326,68.6771,56.7739,82.2151,91.3059,91.9254,85.4212,99.5671,95.7369,99.5112,45.5569,77.5069,32.7504,98.5602,92.5041,24.0193,50.2549,28.0378,98.3671,92.6629,73.6845,94.5987,67.9148,94.9939,46.4293,69.2084,63.1936,87.7468,95.3319,99.0252,83.1995,89.5048,63.0453,93.1786,77.9185,92.541,58.7595,92.7944,95.6745,0,78.4791,62.931,86.5848,78.8952,0,81.823,72.4938,65.564,92.1633,97.1668,69.5773,84.9595,65.1182,64.4798,94.2923,61.1785,59.7489,88.2657,94.6503,90.8712,46.417,97.8756,74.5389,83.6499,95.2704,58.6771,62.2225,84.599,65.9861,96.328,71.9542,95.584,3.75432,41.9323,98.6681,92.8975,74.2795,23.6425, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Min,83.6936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q1,91.69055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Median,94.6689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q3,96.1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Max,98.8384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
