Statistic, Task Type,Run 0,Mean, StdDev
Processing Time,0,8.71617, 0, 0, 
,1,0, 0, 0, 
,2,28.4992, 0, 0, 
,3,0.226749, 0, 0, 
,4,2.5184, 0, 0, 
,5,8.60252, 0, 0, 
,6,3.30595, 0, 0, 
,7,5.16272, 0, 0, 
,8,5.17947, 0, 0, 
Wait Times,0,11.5524, 0, 0, 
,1,0, 0, 0, 
,2,3.11765, 0, 0, 
,3,0.675476, 0, 0, 
,4,0.057785, 0, 0, 
,5,0.86961, 0, 0, 
,6,6.47705, 0, 0, 
,7,7.84971, 0, 0, 
,8,0.88205, 0, 0, 
Total Tasks,0,70, 0, 0, 
,1,0, 0, 0, 
,2,25, 0, 0, 
,3,1, 0, 0, 
,4,9, 0, 0, 
,5,30, 0, 0, 
,6,24, 0, 0, 
,7,52, 0, 0, 
,8,18, 0, 0, 
