 Time (min), Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9, Rep 10, Rep 11, Rep 12, Rep 13, Rep 14, Rep 15, Rep 16, Rep 17, Rep 18, Rep 19, Rep 20, Rep 21, Rep 22, Rep 23, Rep 24, Rep 25, Rep 26, Rep 27, Rep 28, Rep 29, Rep 30, Rep 31, Rep 32, Rep 33, Rep 34, Rep 35, Rep 36, Rep 37, Rep 38, Rep 39, Rep 40, Rep 41, Rep 42, Rep 43, Rep 44, Rep 45, Rep 46, Rep 47, Rep 48, Rep 49, Rep 50, Rep 51, Rep 52, Rep 53, Rep 54, Rep 55, Rep 56, Rep 57, Rep 58, Rep 59, Rep 60, Rep 61, Rep 62, Rep 63, Rep 64, Rep 65, Rep 66, Rep 67, Rep 68, Rep 69, Rep 70, Rep 71, Rep 72, Rep 73, Rep 74, Rep 75, Rep 76, Rep 77, Rep 78, Rep 79, Rep 80, Rep 81, Rep 82, Rep 83, Rep 84, Rep 85, Rep 86, Rep 87, Rep 88, Rep 89, Rep 90, Rep 91, Rep 92, Rep 93, Rep 94, Rep 95, Rep 96, Rep 97, Rep 98, Rep 99, Mean, Std Dev
0,0.00424366,0.0272786,0.0327637,0.0129711,0.0182622,0.0411577,0.00421209,0.0493849,0.118947,0.0159122,0.0590995,0.0194098,0.0439008,0.0800945,0.0063021,0.0174251,0.000691732,0.0331779,0.0127543,0.0746463,0.0263601,0.0201697,0,0.0654181,0.0210201,0.0100964,0.0139423,0.00893043,0,0.0284328,0.0133181,0.0122535,0.0345695,0.0487553,0.0606298,0.0210681,0.0245914,0.0184712,0.0759177,0.0349412,0.0379476,0.037794,0.0443224,0.0211203,0.00672722,0.0590243,0.0455642,0.0521299,0.0164499,0.0383341,0.025458,0.0175182,0.0307124,0.0489128,0.0104693,0.0446311,0.0279774,0,0.0214663,0.00129601,0.0243998,0,0.0548353,0.0570499,0.0568179,0.0282351,0.056919,0.0397858,0.0620937,0.0476985,0.0206258,0.0686585,0.11578,0.0986778,0.0435476,0.0432951,0.00996202,0.0956034,0.0247249,0.0540555,0.0339682,0.0219773,0.0253256,0.0675743,0.0889717,0.047869,0.0653275,0.0919371,0.0671035,0.042712,0.0500089,0.00924291,0.112028,0.0528082,0.0203502,0.0480602,0.108202,0.00977224,0.046903,0.0335841,0.0384587,0.0278617
30,0.111939,0.0497581,0.0547501,0.0435666,0.0556142,0.0437126,0.0357225,0.103451,0.0315681,0.0695395,0.0429359,0.0514793,0.0879126,0.0844334,0.0445539,0.144228,0.027022,0.060608,0.050613,0.0748599,0.05902,0.0475513,0.0664047,0.129333,0.0590565,0.031036,0.0449526,0.0373244,0.0569275,0.0578375,0.0732874,0.063454,0.0831455,0.0753925,0.0479321,0.0294565,0.0556597,0.0755951,0.0601952,0.0277531,0.0344293,0.0331193,0.0529151,0.014916,0.0734137,0.00892372,0.0780052,0.0311192,0.102716,0.0396675,0.0499844,0.113234,0.0506244,0.0151887,0.0837153,0.0486719,0.0659731,0.069028,0.00694186,0.0707479,0.0836348,0.0422808,0.0344894,0.0375857,0.0521612,0.0932805,0.052107,0.102487,0.103608,0.0791421,0.0751837,0.0432578,0.0239,0.117674,0.0658515,0.0834827,0.0409612,0.0689093,0.0752435,0.0276807,0.0633523,0.0903042,0.165558,0.0846733,0.0740733,0.0837981,0.0702005,0.052456,0.054595,0.0512184,0.0614374,0.0573096,0.0615941,0.0503777,0.0776678,0.0677054,0.0359866,0.0978799,0.0853059,0.0148343,0.0619617,0.0282226
60,0.0927092,0.0716609,0.142656,0.0554446,0.0615059,0.115494,0.0523373,0.0849635,0.0543472,0.03394,0.0629345,0.0388774,0.0993645,0.0598012,0.0250448,0.0450443,0.0710299,0.0405914,0.118473,0.0694784,0.152214,0.0922183,0.0816013,0.0487398,0.0403887,0.0606672,0.0480531,0.0490723,0.0644744,0.0352318,0.0693507,0.0201536,0.0666201,0.0522858,0.0227884,0.0974457,0.0448011,0.0380254,0.0459386,0.0251472,0.0838764,0.0885002,0.0818269,0.0626633,0.0475787,0.0863206,0.105266,0.0798027,0.0665146,0.0459025,0.0676086,0.0474284,0.0662882,0.0502881,0.0260893,0.061334,0.0631964,0.0919228,0.0960436,0.0514074,0.0460471,0.0845891,0.10155,0.0733683,0.0925008,0.105063,0.0401268,0.0696091,0.0593952,0.00282491,0.10291,0.0817303,0.0454895,0.0386363,0.0694885,0.0526449,0.036764,0.0332952,0.0697795,0.0671884,0.0744252,0.0423345,0.113884,0.0723106,0.103087,0.0378658,0.062336,0.0279472,0.0668001,0.0484825,0.0626821,0.051996,0.0593903,0.0613408,0.0705505,0.019495,0.0954634,0.0507861,0.00954399,0.0674459,0.0639194,0.0271241
90,0.0530571,0.0138448,0.0335716,0.0701543,0.0447197,0.0403999,0.0667587,0.0741521,0.0874234,0.0354952,0.0892667,0.0473302,0.0904737,0.0493507,0.084024,0.0219157,0.109164,0.0958949,0.0545471,0.0359413,0.0857114,0.0880572,0.0267014,0.0517899,0.0531575,0.0488762,0.113336,0.0466914,0.0213992,0.0560239,0.0906204,0.12297,0.0939735,0.118524,0.0860621,0.0415199,0.0832992,0.0495928,0.0882596,0.11897,0.0467888,0.0145086,0.0627447,0.0384972,0.0820152,0.0798935,0.117223,0.114305,0.0802483,0.0874352,0.0526085,0.112617,0.0627482,0.0737373,0.0232348,0.0364309,0.0361198,0.0595629,0.0306613,0.0432083,0.170661,0.0632464,0.0534083,0.0389725,0.0536085,0.0645139,0.0363874,0.0588491,0.0428586,0.109318,0.0139359,0.0337095,0.0963046,0.0895541,0.0599121,0.0711746,0.0104121,0.0880943,0.0328868,0.0668401,0.0263707,0.0938792,0.0584325,0.0614057,0.0539284,0.0303472,0.0720589,0.0592534,0.0721893,0.106013,0.0801028,0.0782644,0.0448558,0.107163,0.0824722,0.0578145,0.0426954,0.0573118,0.0565643,0.0671605,0.0650054,0.029541
120,0.0575254,0.00737203,0.0227343,0.093236,0.0415583,0.0412687,0.0641914,0.0579445,0.0359881,0.0134644,0.101489,0.0874067,0.0263257,0.045004,0.023642,0.0409159,0.0213359,0.0383715,0.113438,0.109487,0.0626867,0.0729205,0.0393313,0.0407036,0.0489919,0.0753136,0.043487,0.0857485,0.0779376,0.0585912,0.072093,0.0372785,0.0607816,0.140274,0.0872025,0.0411341,0.0239919,0.0706645,0.0867411,0.0295171,0.0578168,0.0378932,0.0599309,0.025428,0.0581103,0.0469348,0.0255397,0.0367198,0.0730944,0.037045,0.0363584,0.09813,0.0731481,0.0343402,0.048676,0.0895846,0.0489082,0.0390287,0.0946866,0.0761686,0.0472247,0.0753421,0.0369741,0.0703204,0.0427684,0.0254908,0.0403987,0.059243,0.0569832,0.0429186,0.0883975,0.0301521,0.0698959,0.0362061,0.0352425,0.146434,0.0303111,0.0250295,0.0587163,0.0242587,0.0393023,0.0359398,0.0770991,0.0314479,0.0598798,0.0379992,0.0428182,0.047569,0.0611982,0.00758769,0.040566,0.0330653,0.0627866,0.0496544,0.0440603,0.0991661,0.0731369,0.0728312,0.0621379,0.0359451,0.0545213,0.0264537
150,0.0909098,0.0451207,0.0332347,0.0847855,0.0832459,0.0486394,0.0625117,0.0714717,0.06716,0.067335,0.0370158,0.0588898,0.109352,0.0162745,0.0210571,0.0123672,0.0467784,0.0483536,0.0713898,0.0577728,0.0355143,0.0497264,0.0534963,0.0567881,0.0566834,0.0827143,0.0614212,0.054304,0.0915619,0.0734573,0.0666743,0.077946,0.0505625,0.136083,0.0366109,0.0575684,0.134216,0.0533356,0.0474538,0.106205,0.0638468,0.0425227,0.0573695,0.0496175,0.0518667,0.0573059,0.0866094,0.127568,0.0479187,0.0380707,0.0348867,0.0714508,0.0429347,0.083048,0.0248169,0.167825,0.10001,0.0572744,0.110633,0.0390737,0.0508987,0.10359,0.0538895,0.0376358,0.0752599,0.0666794,0.0699509,0.0599955,0.0446574,0.0316793,0.0450282,0.0313085,0.0609507,0.0585668,0.0428157,0.0971507,0.0344315,0.0682302,0.0476125,0.0707743,0.0562434,0.100549,0.0361013,0.0348943,0.0382802,0.0613327,0.138102,0.0601517,0.0762777,0.0262395,0.0113164,0.0472885,0.082047,0.0678452,0.0434631,0.0980265,0.0437795,0.0761159,0.0962448,0.0537242,0.0626977,0.0283501
180,0.0864634,0.102748,0.103085,0.0620193,0.0783229,0.0488169,0.0718104,0.072788,0.10119,0.067627,0.112842,0.0778697,0.0913747,0.0672282,0.0862361,0.0616674,0.0658035,0.0638585,0.107308,0.0462957,0.0735672,0.104712,0.0474721,0.014093,0.0561447,0.0649226,0.0746318,0.115867,0.0434474,0.0958135,0.0439473,0.0339411,0.0389959,0.0374781,0.038382,0.0829386,0.0826029,0.0683207,0.0938985,0.0379649,0.0385162,0.048262,0.0583776,0.161356,0.0258601,0.0587611,0.018777,0.0861837,0.0500478,0.0803548,0.10063,0.0300369,0.0628153,0.0493576,0.0180598,0.0254995,0.0588114,0.0553507,0.0933126,0.106796,0.0523575,0.0316681,0.0333995,0.0295959,0.0274551,0.0826309,0.047289,0.0370656,0.0746623,0.0599543,0.0397176,0.0901433,0.0520818,0.0179759,0.0192057,0.0448374,0.0371811,0.0624308,0.155579,0.0510198,0.0649928,0.0651789,0.0598526,0.0459132,0.0556437,0.0360545,0.0905314,0.0597997,0.109928,0.0808848,0.0419739,0.0712916,0.0934509,0.0797704,0.0379527,0.0584676,0.0504395,0.104662,0.0629832,0.10569,0.0647337,0.0286785
210,0.0541036,0.106726,0.027062,0.0415436,0.0991562,0.0481328,0.0491638,0.106363,0.104763,0.0445307,0.0285762,0.0337753,0.0908437,0.0896698,0.0352682,0.0336197,0.0342178,0.0533234,0.0581284,0.0921646,0.0870829,0.0614695,0.0682551,0.0261998,0.0550028,0.0325648,0.0954753,0.0738948,0.0905609,0.0863998,0.0563039,0.0699097,0.0521332,0.108024,0.045108,0.0993927,0.0673162,0.0681763,0.048705,0.0282593,0.0655141,0.0688304,0.0635656,0.0792185,0.0325963,0.0511139,0.0396845,0.101054,0.0302272,0.0713099,0.0991145,0.0225032,0.0875865,0.127573,0.0755641,0.0762873,0.124574,0.0727554,0.0627935,0.0459747,0.0501673,0.0344716,0.0902354,0.0694977,0.0570597,0.0210612,0.0613805,0.0992213,0.0736954,0.0455602,0.0327474,0.0100042,0.0605016,0.069751,0.0373123,0.0481603,0.111573,0.063235,0.103918,0.0628682,0.127839,0.058578,0.0882828,0.0675944,0.0257217,0.0485179,0.0301702,0.0751851,0.0357483,0.0530935,0.0451029,0.0660817,0.052331,0.043516,0.0965261,0.0289001,0.0587133,0.0758082,0.068364,0.0689209,0.0636662,0.0265398
240,0.029598,0.0772817,0.0440221,0.0504618,0.0700394,0.0608154,0.0619614,0.0969264,0.0900752,0.0399297,0.101441,0.0520437,0.046109,0.0661692,0.04667,0.0540705,0.036024,0.0676646,0.0511475,0.0634878,0.0556539,0.0280975,0.0956548,0.0898107,0.0381393,0.0610591,0.0795024,0.113245,0.0408178,0.0335317,0.0535889,0.0419362,0.0491323,0.0334651,0.0527857,0.0743525,0.0408463,0.0791163,0.056249,0.108566,0.0548655,0.04487,0.0761993,0.0455928,0.0876302,0.066627,0.0323146,0.0834173,0.0699651,0.0240789,0.0606811,0.0792206,0.0735418,0.0291967,0.0444901,0.0453156,0.0777913,0.0569962,0.0106201,0.0739889,0.0466807,0.0741145,0.0557358,0.0247045,0.0358088,0.03709,0.0879674,0.0736364,0.0391825,0.0383657,0.0469381,0.0711736,0.0592127,0.0353287,0.0716995,0.0375331,0.0557226,0.10071,0.0677429,0.0569865,0.086733,0.0738668,0.062207,0.0983149,0.0328023,0.0827255,0.0780965,0.0651749,0.0235886,0.104969,0.02326,0.0756165,0.0427272,0.0856257,0.0513987,0.0331518,0.0501343,0.0463776,0.0308899,0.0446615,0.0587755,0.0221952
270,0.0331899,0.0427704,0.0641144,0.0534994,0.0554169,0.00475362,0.0418884,0.109994,0.0671519,0.0678335,0.0374054,0.0329976,0.0502584,0.0739075,0.0248637,0.0343191,0.026766,0.00250753,0.093632,0.0530894,0.00577393,0.0853902,0.0786062,0.0870046,0.0437968,0.0365336,0.0905884,0.0586436,0.0469086,0.0745728,0.0531769,0.0658,0.0445658,0.10187,0.067923,0.0827799,0.0268758,0.0758108,0.0706645,0.0339783,0.0911357,0.0732106,0.0724243,0.0702718,0.106506,0.0394562,0.0672841,0.0235911,0.0849264,0.0616872,0.0242564,0.0602519,0.0430552,0.0873647,0.101821,0.0838104,0.0993123,0.0740682,0.0269989,0.078421,0.0140513,0.108537,0.033252,0.0550018,0.0456543,0.0769643,0.0981984,0.0656077,0.0358826,0.290575,0.0578135,0.0469137,0.0517843,0.0779388,0.0310211,0.0629791,0.0382009,0.0241262,0.0785278,0.0812154,0.0646718,0.060731,0.0223714,0.110083,0.0506795,0.0422445,0.131493,0.090743,0.0659932,0.0496246,0.0419698,0.0558991,0.0785146,0.0335887,0.0253611,0.0052419,0.0697957,0.0402334,0.103798,0.0483205,0.0613708,0.0355147
