 Time (min), Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9, Rep 10, Rep 11, Rep 12, Rep 13, Rep 14, Rep 15, Rep 16, Rep 17, Rep 18, Rep 19, Rep 20, Rep 21, Rep 22, Rep 23, Rep 24, Rep 25, Rep 26, Rep 27, Rep 28, Rep 29, Rep 30, Rep 31, Rep 32, Rep 33, Rep 34, Rep 35, Rep 36, Rep 37, Rep 38, Rep 39, Rep 40, Rep 41, Rep 42, Rep 43, Rep 44, Rep 45, Rep 46, Rep 47, Rep 48, Rep 49, Rep 50, Rep 51, Rep 52, Rep 53, Rep 54, Rep 55, Rep 56, Rep 57, Rep 58, Rep 59, Rep 60, Rep 61, Rep 62, Rep 63, Rep 64, Rep 65, Rep 66, Rep 67, Rep 68, Rep 69, Rep 70, Rep 71, Rep 72, Rep 73, Rep 74, Rep 75, Rep 76, Rep 77, Rep 78, Rep 79, Rep 80, Rep 81, Rep 82, Rep 83, Rep 84, Rep 85, Rep 86, Rep 87, Rep 88, Rep 89, Rep 90, Rep 91, Rep 92, Rep 93, Rep 94, Rep 95, Rep 96, Rep 97, Rep 98, Rep 99, Mean, Std Dev
0,0.311496,0.260371,0.227318,0.244972,0.334763,0.264508,0.275417,0.474026,0.120023,0.362564,0.323075,0.352182,0.514717,0.513518,0.224243,0.509729,0.265346,0.310959,0.324858,0.365612,0.213775,0.351346,0.305354,0.256845,0.38414,0.494007,0.430589,0.237503,0.662178,0.41796,0.432494,0.364523,0.30441,0.433977,0.447108,0.17992,0.184842,0.233791,0.306787,0.4302,0.591858,0.226898,0.436073,0.43775,0.248275,0.34292,0.184681,0.32481,0.339842,0.446574,0.111463,0.408842,0.465571,0.675958,0.366518,0.265231,0.377817,0.549839,0.309308,0.439649,0.467388,0.270504,0.341153,0.418454,0.277807,0.401505,0.358594,0.47379,0.470275,0.258131,0.35202,0.234985,0.418186,0.505217,0.294034,0.468467,0.242546,0.52607,0.4149,0.27294,0.362585,0.351389,0.264614,0.301604,0.36664,0.421399,0.420179,0.364094,0.366853,0.580386,0.312531,0.543993,0.419007,0.377686,0.465103,0.558823,0.258067,0.292811,0.158951,0.572969,0.36428,0.114963
30,0.327804,0.228689,0.150638,0.122706,0.0408187,0.143245,0.0438667,0.109146,0.12108,0.133213,0.132632,0.0452399,0.121876,0.0493077,0.0569266,0.0691029,0.0335223,0.19061,0.0463888,0.149133,0.0468063,0.0549701,0.19866,0.0513011,0.0851947,0.101613,0.115215,0.162526,0.0786425,0.154976,0.0824465,0.205917,0.125556,0.0568292,0.129257,0.0852472,0.109557,0.0442275,0.208012,0.235016,0.0870817,0.129304,0.118551,0.158207,0.102213,0.168312,0.0397128,0.085475,0.0888806,0.096437,0.143893,0.16884,0.0288176,0.205537,0.215653,0.149307,0.092182,0.117845,0.19304,0.131731,0.202386,0.0834416,0.0382506,0.118224,0.081035,0.108557,0.159742,0.0984591,0.190201,0.152086,0.0321978,0.201444,0.0386971,0.143141,0.0794256,0.0928944,0.0863416,0.0650606,0.0920235,0.112383,0.159028,0.101096,0.211183,0.163542,0.0413645,0.0442363,0.0586062,0.0991741,0.26866,0.136341,0.0567609,0.0630348,0.113969,0.140078,0.141669,0.172815,0.106295,0.137963,0.0685671,0.237033,0.118663,0.0597507
60,0.0478527,0.117152,0.0934897,0.109445,0.14224,0.0916055,0.225667,0.0855279,0.103374,0.137287,0.0825073,0.0321131,0.261368,0.0165413,0.0748693,0.0891806,0.128293,0.0891254,0.0835682,0.0346139,0.0298663,0.180313,0.112655,0.0508475,0.110472,0.0621164,0.0420278,0.0972624,0.123604,0.0828138,0.0647283,0.0797279,0.0636107,0.122649,0.0921968,0.0668902,0.0493624,0.0813699,0.145506,0.104086,0.0995171,0.048542,0.0633733,0.142626,0.0848796,0.204907,0.0593718,0.170042,0.075341,0.0361752,0.0461641,0.0803837,0.0534067,0.0528547,0.0975044,0.0754543,0.044119,0.0460362,0.0539228,0.0769691,0.114201,0.14267,0.42132,0.081708,0.0353614,0.055047,0.0496264,0.0949863,0.0929906,0.0995332,0.741023,0.0561606,0.039923,0.25561,0.100922,0.104492,0.0844575,0.082865,0.102181,0.0755424,0.150587,0.0795396,0.0801643,0.110307,0.0193827,0.0336442,0.165031,0.227983,0.180732,0.0620847,0.169537,0.0838088,0.108757,0.0727519,0.0910184,0.0819762,0.0514765,0.185339,0.0837265,0.151518,0.104395,0.0874594
90,0.0382421,0.0794329,0.0395813,0.14056,0.193233,0.00603765,0.0752126,0.0526459,0.198085,0.114202,0.0809171,0.506632,0.0525185,0.108694,0.0895559,0.074336,0.0928874,0.0993645,0.099087,0.0683362,0.151251,0.0808339,0.092231,0.121319,0.0441495,0.127976,0.0756004,0.180872,0.0175982,0.053122,0.1179,0.096004,0.0762655,0.124047,0.111813,0.0995956,0.105701,0.152115,0.0456106,0.11128,0.103995,0.12675,0.115216,0.0876234,0.0435636,0.638112,0.153326,0.0905263,0.24498,0.0226982,0.160396,0.141537,0.112442,0.191338,0.131924,0.0936134,0.0760966,0.0903704,0.145772,0.160688,0.192161,0.167607,0.108765,0.128335,0.0949013,0.077844,0.082561,0.0556127,0.0545888,0.191254,0.82877,0.0914307,0.122337,0.241171,0.117382,0.0807297,0.0560771,0.0773806,0.12122,0.0735814,0.0888524,0.130709,0.0877218,0.0923391,0.0666405,0.0721341,0.035419,0.125379,0.140773,0.127806,0.106171,0.0663755,0.0529198,0.182581,0.0733317,0.177063,0.107774,0.240052,0.105687,0.0567754,0.12226,0.10862
120,0.110247,0.0380702,0.0785713,0.0662679,0.0351903,0.0662877,0.0665349,0.0839714,0.0699982,0.0652336,0.192326,0.084375,0.0773094,0.0498746,0.0734734,0.0909861,0.139416,0.0905474,0.235317,0.156172,0.147678,0.112488,0.159885,0.114323,0.507579,0.127511,0.152919,0.125895,0.0360331,0.130685,0.0498838,0.163555,0.0359947,0.106001,0.116723,0.0734876,0.0326574,0.117974,0.104641,0.06747,0.12576,0.111484,0.0969498,0.0433952,0.0717354,0.778287,0.0789266,0.0235054,0.135191,0.0956006,0.0338918,0.102251,0.0878115,0.0954687,0.120362,0.11918,0.0502457,0.0654175,0.0338305,0.228976,0.0940152,0.0993034,0.0645259,0.0604429,0.0711413,0.076092,0.0979825,0.134276,0.105454,0.118082,0.138775,0.0861114,0.21324,0.100186,0.0458344,0.0749229,0.106975,0.165326,0.206353,0.100389,0.0375814,0.0482254,0.135775,0.077317,0.181071,0.129857,0.0828776,0.170687,0.0470871,0.0782422,0.0868579,0.123789,0.143197,0.0862089,0.11099,0.0603065,0.332412,0.0779327,0.12714,0.217845,0.113667,0.0937733
150,0.0908422,0.0366323,0.0719671,0.0290853,0.0882065,0.100271,0.0895966,0.0474004,0.0333389,0.263351,0.117074,0.0867594,0.158861,0.128478,0.0467382,0.105235,0.0695145,0.201662,0.0772364,0.15603,0.0622986,0.127511,0.135712,0.156543,0.0911875,0.142231,0.0922155,0.0400528,0.138596,0.112453,0.0773804,0.0394958,0.0958064,0.131538,0.168755,0.0786565,0.0827128,0.0860616,0.0589767,0.134065,0.0523524,0.0702667,0.13379,0.0595286,0.109038,0.184471,0.0331273,0.149406,0.0556651,0.024647,0.117868,0.0441416,0.110775,0.0676178,0.0681569,0.0836456,0.0916463,0.093659,0.151601,0.0296499,0.0593704,0.0630966,0.0929438,0.12406,0.111525,0.0457611,0.0454132,0.162743,0.325955,0.0999776,0.121818,0.116434,0.145917,0.113539,0.0393753,0.0338669,0.165243,0.259779,0.0577794,0.0951726,0.0156357,0.023703,0.079009,0.195513,0.406877,0.139767,0.111746,0.164585,0.0478684,0.0283956,0.066893,0.0777888,0.0735418,0.0588455,0.164599,0.0955368,0.146377,0.218189,0.0318527,0.120398,0.103285,0.0636808
180,0.108886,0.0605484,0.129835,0.0539851,0.0519323,0.138586,0.358306,0.322494,0.18101,0.122413,0.102252,0.0785828,0.0553131,0.116829,0.0788066,0.169085,0.062354,0.0678462,0.0721725,0.0577286,0.0689529,0.356115,0.0777527,0.0254598,0.0758942,0.0869191,0.122621,0.0692373,0.0725947,0.124735,0.112548,0.0383921,0.0745382,0.204562,0.172259,0.0493444,0.055158,0.095787,0.0535304,0.0409083,0.0544601,0.314054,0.136959,0.040359,0.0952642,0.0548782,0.0922831,0.207929,0.0530945,0.0542689,0.0314509,0.0395482,0.0955419,0.017215,0.0536509,0.165648,0.0178329,0.0560862,0.0501231,0.140709,0.0628382,0.04104,0.0453501,0.221884,0.0628591,0.129169,0.142422,0.119244,0.438864,0.0419123,0.170244,0.0829402,0.105118,0.0621429,0.0456207,0.06064,0.0904134,0.0554016,0.279115,0.570073,0.0741694,0.0356527,0.109353,0.0737712,0.038857,0.0501623,0.0446106,0.0459656,0.119396,0.250805,0.144515,0.123839,0.091389,0.111217,0.0317912,0.0617015,0.0514196,0.0550812,0.0522303,0.418325,0.109492,0.0962775
210,0.194671,0.164604,0.101517,0.0868561,0.0775752,0.103151,0.076149,0.129055,0.023496,0.270781,0.154831,0.14149,0.158784,0.0763987,0.148064,0.0933248,0.127014,0.126003,0.0651255,0.0293193,0.0709295,0.141659,0.0819916,0.0848933,0.097613,0.0375285,0.179728,0.121594,0.116279,0.0434855,0.108478,0.0427979,0.14576,0.0862701,0.0853902,0.0629298,0.0407496,0.0876119,0.142408,0.114366,0.156453,0.113965,0.0764989,0.0616903,0.0568069,0.165931,0.0776784,0.139002,0.205721,0.0373347,0.10873,0.075503,0.0928385,0.0973989,0.212812,0.0730479,0.16983,0.0656194,0.0937617,0.0972488,0.0997772,0.18346,0.05516,0.144949,0.185128,0.207481,0.118754,0.175161,0.0453328,0.069929,0.0665232,0.104229,0.0666178,0.0569646,0.0556798,0.0172089,0.0469844,0.172133,0.0699585,0.067363,0.0547078,0.170801,0.170929,0.092245,0.0812978,0.0645147,0.0592026,0.133979,0.0475774,0.0556335,0.165112,0.0629374,0.126126,0.0574321,0.08629,0.0619878,0.125516,0.112479,0.153299,0.103218,0.104126,0.0496244
240,0.070341,0.0686142,0.128531,0.0876801,0.0827647,0.12739,0.170908,0.133343,0.0586024,0.133519,0.134376,0.117132,0.116843,0.0500341,0.114508,0.0778519,0.155928,0.126378,0.037883,0.0804825,0.0787206,0.0968918,0.0439082,0.137006,0.0975225,0.0976746,0.0401047,0.0647909,0.00639242,0.0159403,0.046165,0.0525421,0.0872757,0.0753845,0.138602,0.0427694,0.0497803,0.040447,0.104121,0.0392008,0.0490804,0.139031,0.102975,0.149309,0.0620916,0.0700261,0.0668106,0.100736,0.0838928,0.0793279,0.134824,0.0792007,0.0352025,0.142513,0.152044,0.0564168,0.0525487,0.151243,0.158261,0.0942637,0.204412,0.126251,0.146895,0.102601,0.149689,0.055274,0.0637863,0.061644,0.0848175,0.0813324,0.0756795,0.191,0.133219,0.226103,0.0485657,0.110117,0.0930644,0.0811371,0.150181,0.0542791,0.09991,0.075174,0.0583211,0.0822835,0.047762,0.0693949,0.0831543,0.145091,0.0855728,0.0547272,0.079126,0.0611567,0.0449371,0.10351,0.0825796,0.0988647,0.408037,0.0686208,0.019191,0.0745611,0.0947017,0.0526988
270,0.0310333,0.240742,0.0555868,0.285591,0.029895,0.0658183,0.0942627,0.0747528,0.235582,0.0696879,0.0849742,0.159082,0.124001,0.131002,0.0470439,0.0995453,0.212178,0.0817251,0.143513,0.127644,0.115681,0.0629425,0.164959,0.147768,0.0606099,0.144786,0.04558,0.163308,0.0522258,0.118561,0.157427,0.12667,0.058374,0.154315,0.0871114,0.0907786,0.115757,0.0367737,0.0653666,0.0406433,0.0701813,0.0607981,0.054185,0.0880392,0.0532755,0.0620504,0.133549,0.0797414,0.137759,0.0665843,0.130071,0.0863953,0.0890228,0.0549825,0.0716237,0.0679555,0.169996,0.0316711,0.647913,0.104532,0.0864594,0.0437785,0.079658,0.0626455,0.10133,0.0671163,0.139732,0.0480621,0.0351878,0.238665,0.0378967,0.076121,0.146055,0.0631246,0.0773092,0.0369588,0.171445,0.0680979,0.10758,0.229006,0.160075,0.0839233,0.288976,0.103766,0.117688,0.0630819,0.10527,0.143577,0.12105,0.0731079,0.126191,0.0799723,0.110846,0.111489,0.134972,0.0742717,0.0225698,0.0989014,0.147541,0.0395304,0.107866,0.0778214
