Statistic Type, Time (min), Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9, Rep 10, Rep 11, Rep 12, Rep 13, Rep 14, Rep 15, Rep 16, Rep 17, Rep 18, Rep 19, Rep 20, Rep 21, Rep 22, Rep 23, Rep 24, Rep 25, Rep 26, Rep 27, Rep 28, Rep 29, Rep 30, Rep 31, Rep 32, Rep 33, Rep 34, Rep 35, Rep 36, Rep 37, Rep 38, Rep 39, Rep 40, Rep 41, Rep 42, Rep 43, Rep 44, Rep 45, Rep 46, Rep 47, Rep 48, Rep 49, Rep 50, Rep 51, Rep 52, Rep 53, Rep 54, Rep 55, Rep 56, Rep 57, Rep 58, Rep 59, Rep 60, Rep 61, Rep 62, Rep 63, Rep 64, Rep 65, Rep 66, Rep 67, Rep 68, Rep 69, Rep 70, Rep 71, Rep 72, Rep 73, Rep 74, Rep 75, Rep 76, Rep 77, Rep 78, Rep 79, Rep 80, Rep 81, Rep 82, Rep 83, Rep 84, Rep 85, Rep 86, Rep 87, Rep 88, Rep 89, Rep 90, Rep 91, Rep 92, Rep 93, Rep 94, Rep 95, Rep 96, Rep 97, Rep 98, Rep 99, Mean, Std Dev
Utilization, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 


Avg Service Time, 0, 2.60561, 3.25317, 5.85631, 5.1405, 5.25549, 3.76477, 6.1832, 3.50291, 4.55635, 3.99381, 2.58761, 2.83591, 4.91186, 5.35663, 4.53985, 2.27416, 3.20616, 5.95503, 3.62544, 4.72026, 5.33267, 3.26818, 5.22754, 4.87036, 3.58349, 3.93279, 3.62611, 4.49223, 4.96807, 3.68061, 4.72605, 5.46803, 3.59851, 4.64335, 6.40443, 3.32326, 4.65567, 5.87388, 3.00273, 3.34096, 3.83469, 3.07457, 2.83184, 4.43688, 4.42225, 7.29017, 6.36449, 4.26512, 4.56942, 3.66402, 3.49722, 4.7987, 4.85941, 4.72581, 4.36455, 4.75867, 2.96253, 3.10731, 2.99314, 5.01758, 3.97254, 3.01819, 2.99156, 2.60149, 3.96859, 2.34566, 3.60002, 3.60332, 4.30446, 2.46291, 3.39257, 4.20422, 4.86287, 4.52092, 3.20097, 3.87971, 5.01985, 3.40876, 3.20092, 3.06996, 3.76013, 5.25776, 5.0567, 4.63209, 5.24091, 5.62611, 5.30401, 2.75341, 3.29392, 3.44589, 6.82316, 4.03465, 4.62974, 4.81551, 6.57115, 6.51084, 4.49405, 2.93764, 3.29769, 5.44996, 4.23547, 1.11087, 
, 1, 0, 0, 0, 2.11332, 0, 0, 0, 0.368851, 0, 0, 0, 0, 0, 1.37191, 0, 0, 0, 5.04827, 4.60188, 0, 0, 0, 0, 0, 3.87787, 0, 15.6542, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.71535, 0, 0, 5.70019, 0, 0, 0, 9.84893, 0, 7.2414, 0, 0.829979, 0, 0, 1.45585, 13.5373, 0, 1.90842, 0, 0, 3.22873, 0, 0, 2.55338, 1.69954, 0, 4.26675, 0, 0, 0, 3.79542, 0, 0, 0.446701, 0, 0, 0, 0, 0, 0, 1.72343, 0.822983, 0, 2.83691, 7.55061, 2.26597, 0, 0, 0, 0, 0, 0, 0.820923, 0, 0, 1.12285, 2.71743, 
, 2, 23.1746, 16.9498, 25.9803, 20.604, 17.6194, 29.6272, 21.7679, 15.6333, 24.4323, 21.4191, 22.6159, 10.4544, 23.3546, 14.878, 21.5105, 23.1571, 22.5773, 24.3364, 23.0185, 21.7134, 19.4491, 26.8593, 19.9895, 29.517, 14.255, 23.0242, 23.0314, 28.7324, 16.9944, 18.7603, 21.5202, 23.3378, 23.0908, 21.4933, 20.0726, 25.2124, 28.0682, 18.5849, 14.6087, 17.2058, 20.432, 23.9901, 22.7797, 24.0165, 18.6954, 14.4766, 30.3224, 22.7967, 26.7951, 32.8716, 23.2431, 23.9494, 13.4847, 25.0894, 18.9302, 16.8152, 31.1577, 19.1065, 29.2485, 23.8782, 14.7504, 11.0652, 15.9538, 21.9398, 20.8576, 10.2687, 19.498, 17.8294, 28.9132, 21.4642, 19.834, 19.8162, 23.3647, 24.794, 21.6794, 19.1712, 19.5727, 21.1206, 11.5567, 17.9414, 26.5735, 23.3473, 20.7505, 15.7468, 25.3223, 9.89954, 21.3305, 21.4466, 14.3604, 23.7727, 16.7435, 20.9179, 31.1182, 34.1605, 32.0985, 23.9678, 18.6024, 17.8284, 18.1769, 25.3522, 21.4362, 5.07832, 
, 3, 0.922287, 0, 0, 0, 0, 0.599693, 0, 0, 0.997879, 0.350952, 0.422493, 0, 0.271446, 0, 0.48748, 0.825348, 0, 1.02567, 1.41546, 0.448792, 0, 1.60381, 0, 0.238815, 0.965073, 0, 0, 0, 0, 0, 0, 0.730301, 0.540123, 0, 0, 0, 0, 0, 0, 0, 0, 0.522911, 1.27116, 0, 0, 0.396835, 0, 0.792824, 0, 0, 0.388016, 0, 0.498955, 0.743065, 0, 0, 0.394615, 0.845627, 1.23628, 0, 1.69291, 0, 0, 0, 0, 0, 0, 0, 1.19137, 0.83947, 0, 0, 0, 0, 0.333229, 0, 0.668953, 0.260025, 0, 0.59034, 0, 0, 1.12177, 0, 0.26683, 0.208931, 0, 0, 0, 0, 0, 0.343109, 0, 0.316345, 0.688583, 0, 0.289558, 0, 0.189644, 1.55603, 0.29493, 0.438564, 
