 Time (min), Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Rep 5, Rep 6, Rep 7, Rep 8, Rep 9, Rep 10, Rep 11, Rep 12, Rep 13, Rep 14, Rep 15, Rep 16, Rep 17, Rep 18, Rep 19, Rep 20, Rep 21, Rep 22, Rep 23, Rep 24, Rep 25, Rep 26, Rep 27, Rep 28, Rep 29, Rep 30, Rep 31, Rep 32, Rep 33, Rep 34, Rep 35, Rep 36, Rep 37, Rep 38, Rep 39, Rep 40, Rep 41, Rep 42, Rep 43, Rep 44, Rep 45, Rep 46, Rep 47, Rep 48, Rep 49, Rep 50, Rep 51, Rep 52, Rep 53, Rep 54, Rep 55, Rep 56, Rep 57, Rep 58, Rep 59, Rep 60, Rep 61, Rep 62, Rep 63, Rep 64, Rep 65, Rep 66, Rep 67, Rep 68, Rep 69, Rep 70, Rep 71, Rep 72, Rep 73, Rep 74, Rep 75, Rep 76, Rep 77, Rep 78, Rep 79, Rep 80, Rep 81, Rep 82, Rep 83, Rep 84, Rep 85, Rep 86, Rep 87, Rep 88, Rep 89, Rep 90, Rep 91, Rep 92, Rep 93, Rep 94, Rep 95, Rep 96, Rep 97, Rep 98, Rep 99, Mean, Std Dev
0,0.0141462,0.00855544,0.0353751,0.0692597,0.0579254,0.0284047,0.0111787,0.0413182,0.00697956,0.0196177,0.0454314,0.0090134,0.0411694,0.0120419,0.0217893,0.0471817,0.0721052,0.00790494,0.0288123,0.0030103,0.00375888,0.0044271,0.14021,0.0163013,0.0547637,0.00404132,0.046051,0.0805545,0.0320429,0.0172026,0.0169471,0.00720199,0.0140985,0.0140398,0.0645755,0.0452398,0.0380621,0.0287301,0.0183895,0.00501016,0.0492934,0.0365315,0.0281762,0.0156038,0.0259763,0.00641944,0.0304277,0.00342242,0.0232216,0.0748125,0.00542806,0.025697,0.0382318,0.0142577,0.0724593,0.0323556,0.0259088,0.0488504,0.0399817,0.0198618,0.0215379,0.0334029,0.0169025,0.0449773,0.00297438,0.00408354,0,0.0252639,0.0164979,0.0128441,0.0309487,0.0286657,0.0436657,0.00475561,0.0174929,0.0559503,0.0174459,0.00577291,0.00626354,0.016203,0.0197212,0.0211882,0.0188564,0.0321931,0.142198,0.0422622,0.0369022,0.0298679,0.0326262,0.0282616,0.000511424,0.0627021,0.0467598,0.0179008,0.0206901,0.0332577,0.0235988,0.01356,0.0560452,0.0493596,0.029839,0.024763
30,0.0716285,0.066964,0.0766194,0.121137,0.0695761,0.0880803,0.105745,0.0160776,0.0199031,0.109124,0.0451738,0.0731865,0.0637955,0.017041,0.0342946,0.0331175,0.0404917,0.109403,0.0614506,0.0917626,0.0487783,0.0514777,0.0331803,0.0229326,0.046538,0.0203536,0.0786983,0.0818437,0.0607135,0.135504,0.0470518,0.0666984,0.0308955,0.0942973,0.0444166,0.0986418,0.0341034,0.034844,0.035687,0.0668921,0.0833922,0.0360057,0.0776344,0.063053,0.114307,0.0295986,0.0350043,0.0595547,0.0247523,0.100826,0.0824324,0.103392,0.093566,0.0421399,0.0736287,0.144034,0.0654142,0.0967543,0.0479776,0.0773918,0.04031,0.0428813,0.0888673,0.141703,0.0723007,0.0736342,0.0606581,0.106657,0.0714373,0.0898062,0.0960697,0.0264247,0.123927,0.0706638,0.0696411,0.0374363,0.0916409,0.068588,0.0333907,0.130214,0.108402,0.103124,0.0629552,0.090353,0.0259609,0.0579831,0.063338,0.0306723,0.0907593,0.0542797,0.0244235,0.0907932,0.0432859,0.0576398,0.0314996,0.0863913,0.0455748,0.0695002,0.0595878,0.0788909,0.0671065,0.0305272
60,0.0126485,0.106989,0.0566489,0.0689092,0.0617345,0.0446662,0.00486654,0.0471018,0.0313464,0.0477481,0.0345561,0.0920844,0.0435893,0.0625183,0.0201159,0.0784419,0.0521497,0.0177788,0.0380778,0.0444158,0.0284208,0.0578832,0.131666,0.0109478,0.0381036,0.161655,0.10108,0.077596,0.0498084,0.0238942,0.0710158,0.0916112,0.0773959,0.124003,0.039054,0.0613513,0.0376116,0.108921,0.0276914,0.0575511,0.0651806,0.0487559,0.129965,0.0982522,0.0695249,0.0540713,0.028656,0.0459483,0.0211856,0.018911,0.110368,0.0569815,0.105825,0.0409302,0.0682472,0.0498116,0.0637573,0.0263822,0.0744072,0.0622627,0.0353105,0.0163575,0.0846358,0.146506,0.0815835,0.086748,0.0647841,0.0628548,0.0657335,0.0947456,0.115663,0.100996,0.0953299,0.0675761,0.038725,0.0727511,0.0409175,0.0492482,0.0391933,0.0593446,0.105928,0.068751,0.0476376,0.115745,0.0199946,0.105905,0.0860624,0.0909673,0.0782285,0.0937786,0.0968269,0.0797099,0.0520251,0.0440449,0.0868375,0.0425252,0.043896,0.0404503,0.0756373,0.066387,0.0644341,0.0318787
90,0.0599841,0.0295486,0.0472832,0.039342,0.135697,0.0508433,0.0686864,0.0760094,0.0374593,0.13065,0.0886411,0.0553177,0.0295176,0.0640139,0.0521314,0.0267072,0.053271,0.0482732,0.0557892,0.00523148,0.0551481,0.098952,0.0348956,0.0788101,0.0625872,0.0476537,0.0233554,0.06881,0.0290258,0.0524399,0.103354,0.0670596,0.0570091,0.0887693,0.0538859,0.0287987,0.0577438,0.0531865,0.105097,0.0473315,0.0506482,0.0544533,0.0544136,0.167641,0.0362317,0.0484975,0.0472181,0.00949529,0.0590864,0.0357241,0.0301135,0.0478406,0.0462593,0.0216459,0.0268295,0.0605619,0.0883319,0.0571477,0.135074,0.0844602,0.0726028,0.131178,0.0736748,0.12158,0.109842,0.0710632,0.0459864,0.0342471,0.0648036,0.0875173,0.0850972,0.059433,0.10001,0.110898,0.0595993,0.03896,0.053196,0.0836538,0.0682175,0.0827255,0.0265984,0.0685018,0.107837,0.0492109,0.0238703,0.0340907,0.0403475,0.1166,0.0595431,0.0567469,0.0828303,0.0662287,0.041658,0.0886782,0.054022,0.0649078,0.0514422,0.0679947,0.0323911,0.0652934,0.0628306,0.0298187
120,0.0677233,0.0490743,0.123443,0.0787529,0.104094,0.0925326,0.0706884,0.0542979,0.0623088,0.142324,0.0234688,0.067246,0.022702,0.0402423,0.0774434,0.0291789,0.111643,0.106872,0.0941378,0.0993164,0.0278567,0.163067,0.0478686,0.0441966,0.0350985,0.0793045,0.0810025,0.0852102,0.139445,0.237199,0.0467232,0.0753906,0.0353233,0.0646421,0.0787865,0.0795024,0.139471,0.0369548,0.0764816,0.0348083,0.0840731,0.0531011,0.14534,0.0935969,0.126979,0.058048,0.0335681,0.0852051,0.0521777,0.170152,0.00934957,0.0323163,0.0414088,0.0588053,0.0607323,0.087707,0.047611,0.0250587,0.0922279,0.0599815,0.0676537,0.0402679,0.058405,0.0767281,0.0700567,0.122577,0.117291,0.0188505,0.0879484,0.0410973,0.129096,0.066199,0.0689611,0.0609756,0.0625102,0.0147252,0.0684219,0.0838786,0.0703036,0.0520991,0.0922872,0.0456553,0.0609436,0.0494807,0.057089,0.0365995,0.0150803,0.0350174,0.0418795,0.0336889,0.0487251,0.0431046,0.0442729,0.0331782,0.0532926,0.100756,0.0404434,0.124461,0.0588537,0.0902361,0.0702635,0.0381345
150,0.0407267,0.0899038,0.0623708,0.0913727,0.0977895,0.0489614,0.076473,0.0890915,0.0190511,0.0536982,0.0645447,0.0618378,0.0604675,0.0727447,0.067423,0.0287532,0.077415,0.118287,0.0634145,0.0527461,0.0563217,0.0972005,0.0354406,0.0322906,0.106577,0.161129,0.110414,0.0267553,0.0764898,0.0636978,0.149951,0.10048,0.0381755,0.0193883,0.0237717,0.0295904,0.0210963,0.0534271,0.00951589,0.130098,0.0397929,0.0820374,0.0327525,0.0635071,0.0780955,0.087559,0.0511149,0.0937642,0.0336431,0.0768773,0.0615875,0.048287,0.0877752,0.0924377,0.0752838,0.0547251,0.098731,0.038385,0.041183,0.0438802,0.12409,0.113467,0.113127,0.027005,0.0122416,0.106278,0.0821686,0.0462413,0.0457957,0.0303024,0.0729818,0.0120865,0.0712687,0.0332016,0.0669912,0.0442978,0.088384,0.0386648,0.0342921,0.0236649,0.0443161,0.070311,0.1047,0.0651077,0.0909297,0.0397659,0.0860703,0.0290705,0.0740051,0.0414169,0.0423024,0.048379,0.089916,0.0934642,0.0671,0.0130015,0.0261098,0.0240514,0.111348,0.0673218,0.0637554,0.0320742
180,0.0257009,0.128887,0.0525742,0.0775889,0.0415894,0.00836894,0.0689794,0.057608,0.0571757,0.0277059,0.0436045,0.0404739,0.0393473,0.049292,0.0663381,0.0700343,0.0658569,0.119837,0.0931478,0.0425471,0.038239,0.0752808,0.0502075,0.0688248,0.0294835,0.0571381,0.0672704,0.0988129,0.0666183,0.0615178,0.0320953,0.0621282,0.0424067,0.0631139,0.0256353,0.0562617,0.12467,0.173361,0.0826767,0.032107,0.0349406,0.0298197,0.0750168,0.0404414,0.0634923,0.0694107,0.0407466,0.0379918,0.0542542,0.0325556,0.0463409,0.0842423,0.013324,0.0687714,0.0706258,0.0890472,0.0566884,0.0699534,0.0388387,0.0318385,0.0934519,0.0393489,0.050738,0.0463267,0.0887095,0.0575775,0.108764,0.0136871,0.0566284,0.100355,0.0541601,0.0465342,0.0379155,0.0531041,0.0637904,0.0686869,0.0315755,0.038707,0.0551,0.0658264,0.0673508,0.0237879,0.0201726,0.112878,0.0513585,0.0432617,0.0781336,0.095134,0.100657,0.122948,0.0722305,0.135902,0.127356,0.0775752,0.0864543,0.0355896,0.073435,0.092424,0.0795059,0.0867177,0.0628671,0.0297908
210,0.11056,0.0598511,0.0574071,0.0736023,0.0466502,0.037971,0.0562475,0.0440618,0.0605214,0.0368927,0.0655284,0.0752792,0.0635803,0.037325,0.0177099,0.0469264,0.0534373,0.0495443,0.128966,0.0320302,0.0678782,0.0472972,0.02485,0.0956431,0.0274394,0.132608,0.059081,0.0692495,0.104487,0.0396367,0.0395452,0.0472931,0.0335698,0.053332,0.0906052,0.0608571,0.0895355,0.0430995,0.0465276,0.045372,0.0451106,0.112004,0.0263672,0.0897868,0.116125,0.0687734,0.0612406,0.0952423,0.033548,0.0224091,0.0584686,0.0471624,0.116809,0.0589147,0.107759,0.0276672,0.122104,0.0549479,0.123675,0.032018,0.0982127,0.0689046,0.0147624,0.0941676,0.054778,0.0593877,0.103301,0.0918452,0.117436,0.0956731,0.0339361,0.0503062,0.118653,0.119302,0.0322266,0.0481125,0.0895111,0.0765066,0.060969,0.118709,0.0309199,0.0894486,0.0539515,0.0409688,0.0528183,0.0438054,0.0931223,0.0543091,0.045993,0.0487712,0.0698837,0.109277,0.0686579,0.0477203,0.114319,0.0194738,0.0981817,0.0528865,0.107158,0.0325923,0.0661309,0.0305509
240,0.0509257,0.0638672,0.0446004,0.0652959,0.0389628,0.0532018,0.0497243,0.0471492,0.0625971,0.105686,0.0862757,0.046876,0.0663681,0.0521179,0.0727763,0.0491903,0.0573034,0.0629039,0.0893616,0.124317,0.0378688,0.129364,0.0440842,0.082664,0.0728602,0.0490402,0.0119151,0.072998,0.0373082,0.121587,0.0214254,0.0594152,0.0657745,0.104386,0.0742045,0.0329381,0.0619324,0.0849197,0.129459,0.049882,0.0626261,0.0450556,0.0600499,0.0497833,0.0919556,0.0692047,0.0280426,0.0481323,0.0486359,0.0259471,0.041951,0.0364151,0.0681163,0.0287857,0.0132838,0.0804164,0.0126119,0.0214554,0.110316,0.0910924,0.0861165,0.0870605,0.106983,0.0934006,0.0553202,0.135272,0.0301025,0.0538259,0.0208379,0.0285014,0.105765,0.0412038,0.0597509,0.0989532,0.0342255,0.192397,0.0404358,0.0368835,0.0324295,0.0286596,0.0633708,0.0687312,0.117101,0.0487976,0.0523997,0.0455093,0.114831,0.0107091,0.028094,0.0532481,0.0447713,0.0379954,0.0875966,0.0442749,0.0840052,0.04602,0.0757609,0.135326,0.0281906,0.0148982,0.0623716,0.0330416
270,0.0802022,0.115607,0.0626943,0.0718882,0.0524933,0.0742594,0.122471,0.0337077,0.0461772,0.0394643,0.105955,0.0437693,0.0165446,0.0634532,0.0157227,0.0549408,0.088209,0.0118154,0.0275187,0.058783,0.0682261,0.0233348,0.0772054,0.0979146,0.100564,0.0606313,0.0424774,0.0453227,0.0569672,0.0572032,0.053067,0.0659566,0.051415,0.0474091,0.0324636,0.0855276,0.0522756,0.0957967,0.0597768,0.0856557,0.116724,0.0825338,0.0664846,0.0178609,0.0206726,0.0572093,0.0795868,0.0509633,0.055246,0.0643921,0.0852346,0.0981323,0.142398,0.0609273,0.0783539,0.0423889,0.0629486,0.0866048,0.0331065,0.100578,0.028123,0.0722809,0.0687571,0.102135,0.138734,0.0989797,0.0546763,0.0683817,0.135449,0.0614003,0.113959,0.0741343,0.0270915,0.0990763,0.0604563,0.0916962,0.0330699,0.0538706,0.0625905,0.0783834,0.0301656,0.0140472,0.0299286,0.0764821,0.035557,0.0751363,0.0610443,0.0585256,0.0516388,0.0317149,0.0395823,0.0552806,0.0520813,0.0699626,0.0536285,0.105045,0.06651,0.0920034,0.0702118,0.0495606,0.0648856,0.0285387
