Statistic Type, Time (min), Run 0, Run 1, Run 2, Run 3, Run 4, Run 5, Run 6, Run 7, Run 8, Run 9, Mean, Std Dev
Utilization, 0, 0.534084, 0.297312, 0.24935, 0.378013, 0.267279, 0.341136, 0.49659, 0.264853, 0.624714, 0.432826, 0.388616, 0.129381, 
, 10, 0.535345, 0.597067, 0.153152, 0.207801, 0.387619, 0.576748, 0.598354, 0.297773, 0.242716, 0.221175, 0.381775, 0.179385, 
, 20, 0.598703, 0.482403, 0.181552, 0.646351, 0.682181, 0.64795, 0.729824, 0.363839, 0.437157, 0.564623, 0.533458, 0.168737, 
, 30, 0.198199, 0.135867, 0.211307, 0.0757408, 0.077569, 0.0784569, 0.160727, 0.17204, 0.309147, 0.130277, 0.154933, 0.0732082, 
, 40, 0.132784, 0.0203606, 0.222145, 0.0879303, 0.306337, 0.222021, 0.26572, 0.222944, 0.0458462, 0.0961269, 0.162222, 0.0981819, 
, 50, 0.29424, 0.142828, 0.0828495, 0.0693974, 0.226338, 0.132349, 0.135017, 0.0706009, 0.0782783, 0.112786, 0.134468, 0.0735201, 
, 60, 0.0872074, 0.146744, 0.411168, 0.0800346, 0.184362, 0.0399921, 0.104612, 0.0832504, 0.276804, 0.252474, 0.166665, 0.115786, 
, 70, 0.294064, 0.132195, 0.0896317, 0.0195152, 0.0553223, 0.143414, 0.140813, 0.581369, 0.264882, 0.0471039, 0.176831, 0.167829, 
, 80, 0.138703, 0.19193, 0.099041, 0.0915802, 0.0940758, 0.0875214, 0.131328, 0.115492, 0.0248169, 0.071109, 0.10456, 0.0443627, 
, 90, 0.0685051, 0.0853035, 0.0745781, 0.102134, 0.128071, 0.254205, 0.221996, 0.109675, 0.342834, 0.214051, 0.160135, 0.092626, 
, 100, 0.286102, 0.169673, 0.0631561, 0.242505, 0.583527, 0.352512, 0.130279, 0.160078, 0.225514, 0.127912, 0.234126, 0.149025, 
, 110, 0.184562, 0.0755783, 0.135368, 0.0332214, 0.0107407, 0.0772461, 0.0518349, 0.00839157, 0.0835777, 0.121063, 0.0781583, 0.0563689, 
, 120, 0.143611, 0.0169716, 0.151567, 0.241576, 0.10282, 0.380307, 0.19766, 0.12798, 0.11208, 0.139588, 0.161416, 0.0968348, 
, 130, 0.125331, 0.0717956, 0.0647079, 0.365291, 0.165965, 0.279282, 0.175294, 0.128934, 0.0825455, 0.0285614, 0.148771, 0.104181, 
, 140, 0.139256, 0.38129, 0.202199, 0.154851, 0.104347, 0.0760788, 0.0659851, 0.198238, 0.105157, 0.0894119, 0.151681, 0.0936578, 
