Statistic Type, Time (min), Run 0, Run 1, Run 2, Mean, Std Dev
Utilization, 0, 0.556044, 0.458927, 0.194685, 0.403219, 0.18701, 
, 30, 0.208408, 0.124014, 0.172101, 0.168174, 0.0423338, 
, 60, 0.36421, 0.617691, 0.43799, 0.473297, 0.130377, 


Avg Service Time, 0, 4.06464, 4.38761, 3.27651, 3.90958, 0.571548, 
, 1, 0.755993, 0, 0, 0.251998, 0.436473, 
, 2, 24.7092, 27.3226, 14.7113, 22.2477, 6.65624, 
, 3, 0.282928, 0, 1.30382, 0.528915, 0.685833, 
, 4, 0.604988, 0, 0.377132, 0.327374, 0.305548, 
, 5, 1.28906, 1.72535, 0.263203, 1.09254, 0.750623, 
, 6, 0.298703, 0.195686, 0.853745, 0.449378, 0.353959, 
, 7, 0.846539, 1.0885, 0.785568, 0.906868, 0.160222, 
, 8, 1.00785, 1.2992, 2.57201, 1.62635, 0.831818, 


Avg Wait Time, 0, 0.68096, 0.1982, 0.196835, 0.358665, 0.279116, 
, 1, 0, 0, 0, 0, 0, 
, 2, 21.4047, 19.6346, 3.88553, 14.9749, 9.64439, 
, 3, 0, 0, 1.36462, 0.454875, 0.787866, 
, 4, 0, 0, 0, 0, 0, 
, 5, 0, 1.57324, 0, 0.524414, 0.908311, 
, 6, 2.98078, 6.61358, 0.356361, 3.31691, 3.14212, 
, 7, 3.14655, 2.21466, 0, 1.78707, 1.61627, 
, 8, 2.68531, 0, 4.96975, 2.55169, 2.48757, 


Number In, 0, 31, 33, 25, 29.6667, 4.16333, 
, 1, 1, 0, 0, 0.333333, 0.57735, 
, 2, 23, 27, 15, 21.6667, 6.1101, 
, 3, 1, 0, 2, 1, 1, 
, 4, 2, 0, 2, 1.33333, 1.1547, 
, 5, 4, 6, 2, 4, 2, 
, 6, 4, 5, 8, 5.66667, 2.08167, 
, 7, 11, 16, 8, 11.6667, 4.04145, 
, 8, 7, 3, 8, 6, 2.64575, 


Number Out, 0, 31, 33, 24, 29.3333, 4.72582, 
, 1, 1, 0, 0, 0.333333, 0.57735, 
, 2, 23, 27, 15, 21.6667, 6.1101, 
, 3, 1, 0, 2, 1, 1, 
, 4, 2, 0, 2, 1.33333, 1.1547, 
, 5, 4, 6, 2, 4, 2, 
, 6, 4, 5, 8, 5.66667, 2.08167, 
, 7, 11, 16, 8, 11.6667, 4.04145, 
, 8, 6, 3, 8, 5.66667, 2.51661, 


Number Expired, 0, 0, 0, 1, 0.333333, 0.57735, 
, 1, 0, 0, 0, 0, 0, 
, 2, 0, 0, 0, 0, 0, 
, 3, 0, 0, 0, 0, 0, 
, 4, 0, 0, 0, 0, 0, 
, 5, 0, 0, 0, 0, 0, 
, 6, 0, 0, 0, 0, 0, 
, 7, 0, 0, 0, 0, 0, 
, 8, 0, 0, 0, 0, 0, 



