Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, Sum
Utilization, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 0.0123444, 0.0251499, 0, 0, 0.038781, 0, 0, 0, 0.0132904, 0.0895657
, 6, 0, 0, 0.000442886, 0.00639305, 0, 0, 0, 0, 0.0220276, 0, 0, 0, 0.0288635
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 0, 0.0374678, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0374678
, Sum, 0, 0.0374678, 0.000442886, 0.0187374, 0.0251499, 0, 0, 0.038781, 0.0220276, 0, 0, 0.0132904, 0.155897


Avg Service Time, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 0.123444, 0.251499, 0, 0, 0.38781, 0, 0, 0, 0.132904, 0.895657
, 6, 0, 0, 0.00442886, 0.0639305, 0, 0, 0, 0, 0.220276, 0, 0, 0, 0.288635
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 0, 0.374678, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.374678
, Sum, 0, 0.374678, 0.00442886, 0.187374, 0.251499, 0, 0, 0.38781, 0.220276, 0, 0, 0.132904, 1.55897


Avg Wait Time, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, Sum, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0


Number In, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 4
, 6, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
, Sum, 0, 1, 1, 2, 1, 0, 0, 1, 1, 0, 0, 1, 8


Number Out, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 4
, 6, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
, Sum, 0, 1, 1, 2, 1, 0, 0, 1, 1, 0, 0, 1, 8


