Statistic Type, Time (min), Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Mean, Std Dev
Utilization, 0, 0, 0, 0, 0, 0, 0, 0, 
, 30, 0, 0, 0, 0, 0, 0, 0, 
, 60, 0, 0, 0, 0, 0, 0, 0, 


Avg Service Time, 0, 2.9914, 3.82322, 3.96108, 3.18198, 2.99123, 3.38978, 0.467704, 
, 1, 0, 11.1343, 0, 0, 0, 2.22685, 4.9794, 
, 2, 18.2471, 18.7802, 19.9021, 18.7976, 24.0467, 19.9547, 2.36547, 
, 3, 0, 0.259361, 0, 0, 0.426262, 0.137125, 0.196819, 
, 4, 0, 0, 0.185238, 0.430313, 0.416386, 0.206387, 0.212062, 
, 5, 0.25922, 0.499275, 0.885277, 1.43153, 2.20912, 1.05688, 0.781769, 
, 6, 1.43064, 0.781295, 0.0266252, 1.32786, 1.30812, 0.974908, 0.587372, 
, 7, 2.11353, 0.677862, 2.3524, 1.08151, 0.134883, 1.27204, 0.943103, 
, 8, 1.8873, 1.3161, 0.249125, 0.872993, 0.987036, 1.06251, 0.601622, 


Avg Wait Time, 0, 0.118963, 0.280675, 0.461414, 0.435772, 1.29667, 0.518698, 0.456025, 
, 1, 0, 0.445061, 0, 0, 0, 0.0890121, 0.199037, 
, 2, 3.8413, 10.6557, 3.97082, 4.10807, 11.4589, 6.80695, 3.89153, 
, 3, 0, 0.00656128, 0, 0, 0.0132217, 0.0039566, 0.00590744, 
, 4, 0, 0, 0, 0, 0.240616, 0.0481232, 0.107607, 
, 5, 124.626, 274.671, 212.075, 431.625, 236.721, 255.944, 112.642, 
, 6, 270.326, 203.186, 58.406, 236.259, 398.019, 233.239, 122.481, 
, 7, 4.48365, 2.71194, 3.12988, 5.76683, 1.44167, 3.50679, 1.66588, 
, 8, 250.619, 265.158, 25.0021, 98.643, 157.69, 159.422, 101.566, 


Number In, 0, 26, 29, 32, 24, 23, 26.8, 3.70135, 
, 1, 0, 1, 1, 0, 0, 0.4, 0.547723, 
, 2, 17, 20, 27, 20, 20, 20.8, 3.70135, 
, 3, 0, 1, 0, 0, 2, 0.6, 0.894427, 
, 4, 0, 0, 1, 1, 2, 0.8, 0.83666, 
, 5, 2, 5, 6, 8, 6, 5.4, 2.19089, 
, 6, 7, 6, 2, 8, 10, 6.6, 2.96648, 
, 7, 16, 10, 16, 12, 2, 11.2, 5.76194, 
, 8, 6, 4, 2, 3, 4, 3.8, 1.48324, 


Number Out, 0, 26, 29, 30, 24, 23, 26.4, 3.04959, 
, 1, 0, 1, 0, 0, 0, 0.2, 0.447214, 
, 2, 17, 18, 21, 20, 19, 19, 1.58114, 
, 3, 0, 1, 0, 0, 1, 0.4, 0.547723, 
, 4, 0, 0, 1, 1, 2, 0.8, 0.83666, 
, 5, 2, 2, 4, 7, 6, 4.2, 2.28035, 
, 6, 7, 6, 2, 8, 10, 6.6, 2.96648, 
, 7, 16, 10, 15, 12, 2, 11, 5.56776, 
, 8, 6, 3, 1, 2, 4, 3.2, 1.92354, 


Number Expired, 0, 0, 0, 0, 0, 0, 0, 0, 
, 1, 0, 0, 0, 0, 0, 0, 0, 
, 2, 0, 0, 0, 0, 0, 0, 0, 
, 3, 0, 0, 0, 0, 0, 0, 0, 
, 4, 0, 0, 0, 0, 0, 0, 0, 
, 5, 0, 2, 2, 0, 0, 0.8, 1.09545, 
, 6, 0, 0, 0, 0, 0, 0, 0, 
, 7, 0, 0, 0, 0, 0, 0, 0, 
, 8, 0, 0, 0, 1, 0, 0.2, 0.447214, 



Statistic Type, Time (min), Rep 0, Rep 1, Rep 2, Rep 3, Rep 4, Mean, Std Dev
Utilization, 0, 0.323131, 0.453363, 0.407194, 0.386459, 0.57661, 0.429351, 0.0947036, 
, 30, 0.109941, 0.193167, 0.150825, 0.114395, 0.16682, 0.147029, 0.0352679, 
, 60, 0.46457, 0.595855, 0.360709, 0.403271, 0.340563, 0.432994, 0.10268, 


Avg Service Time, 0, 2.9914, 3.82322, 3.96108, 3.18198, 2.99123, 3.38978, 0.467704, 
, 1, 0, 11.1343, 0, 0, 0, 2.22685, 4.9794, 
, 2, 18.2471, 18.7802, 19.9021, 18.7976, 24.0467, 19.9547, 2.36547, 
, 3, 0, 0.259361, 0, 0, 0.426262, 0.137125, 0.196819, 
, 4, 0, 0, 0.185238, 0.430313, 0.416386, 0.206387, 0.212062, 
, 5, 0.25922, 0.499275, 0.885277, 1.43153, 2.20912, 1.05688, 0.781769, 
, 6, 1.43064, 0.781295, 0.0266252, 1.32786, 1.30812, 0.974908, 0.587372, 
, 7, 2.11353, 0.677862, 2.3524, 1.08151, 0.134883, 1.27204, 0.943103, 
, 8, 1.8873, 1.3161, 0.249125, 0.872993, 0.987036, 1.06251, 0.601622, 


Avg Wait Time, 0, 0.118963, 0.280675, 0.461414, 0.435772, 1.29667, 0.518698, 0.456025, 
, 1, 0, 0.445061, 0, 0, 0, 0.0890121, 0.199037, 
, 2, 3.8413, 10.6557, 3.97082, 4.10807, 11.4589, 6.80695, 3.89153, 
, 3, 0, 0.00656128, 0, 0, 0.0132217, 0.0039566, 0.00590744, 
, 4, 0, 0, 0, 0, 0.240616, 0.0481232, 0.107607, 
, 5, 124.626, 274.671, 212.075, 431.625, 236.721, 255.944, 112.642, 
, 6, 270.326, 203.186, 58.406, 236.259, 398.019, 233.239, 122.481, 
, 7, 4.48365, 2.71194, 3.12988, 5.76683, 1.44167, 3.50679, 1.66588, 
, 8, 250.619, 265.158, 25.0021, 98.643, 157.69, 159.422, 101.566, 


Number In, 0, 26, 29, 32, 24, 23, 26.8, 3.70135, 
, 1, 0, 1, 1, 0, 0, 0.4, 0.547723, 
, 2, 17, 20, 27, 20, 20, 20.8, 3.70135, 
, 3, 0, 1, 0, 0, 2, 0.6, 0.894427, 
, 4, 0, 0, 1, 1, 2, 0.8, 0.83666, 
, 5, 0, 0, 0, 0, 0, 0, 0, 
, 6, 0, 0, 0, 0, 0, 0, 0, 
, 7, 16, 10, 16, 12, 2, 11.2, 5.76194, 
, 8, 0, 0, 0, 0, 0, 0, 0, 


Number Out, 0, 26, 29, 30, 24, 23, 26.4, 3.04959, 
, 1, 0, 1, 0, 0, 0, 0.2, 0.447214, 
, 2, 17, 18, 21, 20, 19, 19, 1.58114, 
, 3, 0, 1, 0, 0, 1, 0.4, 0.547723, 
, 4, 0, 0, 1, 1, 2, 0.8, 0.83666, 
