time,0,1,2,3,4,5,6,7,8
 0 min,0,0,0,0,0,0.00493763,0.00452164,0,0.00213885
 10 min,0,0,0,0,0,0.00432932,0.00491408,0,0.00479231
 20 min,0,0,0,0,0,0.00294891,0.00301923,0,0.00611092
 30 min,0,0,0,0,0,0.00607377,0.00239792,0,0.000914503
 40 min,0,0,0,0,0,0.00482976,0.0012065,0,0.00135983
 50 min,0,0,0,0,0,0.00603541,0.00294101,0,0.00214854
 60 min,0,0,0,0,0,0.00356425,0.00197328,0,0.00531492
 70 min,0,0,0,0,0,0.00535986,0.0023929,0,0.00234142
 80 min,0,0,0,0,0,0.00731889,0.00283422,0,0.00266031
 90 min,0,0,0,0,0,0.00764098,0,0,0.00392539
 100 min,0,0,0,0,0,0.00623822,0,0,0.00747172
 110 min,0,0,0,0,0,0.00868507,0,0,0.00515168
