time,0,1,2,3,4,5,6,7,8
 0 min,0.0412599,0,0.294619,0,0,0.00510904,0.00505559,0.00770489,0.00444084
 10 min,0.0458423,0,0.319969,0,0,0.0045346,0.00695269,0.00783334,0.00638775
 20 min,0.0473326,0,0.316578,0,0,0.00752359,0.00753328,0.00660063,0.00963646
 30 min,0.0274257,0,0.0498787,0.000991962,0.0109747,0.0248822,0.0100639,0.0176348,0.0194119
 40 min,0.025503,0.0151127,0.035097,0.000639419,0.0110099,0.029359,0.00904969,0.0170549,0.0184867
 50 min,0.0301211,0.0104521,0.0300495,0,0.00673388,0.0237784,0.00952252,0.0176241,0.0243527
 60 min,0.0298701,0.00815262,0.0314654,0.000791832,0.0125035,0.0218532,0.0128733,0.0220711,0.0154743
 70 min,0.0261752,0.0194318,0.0288795,0,0.0101117,0.0228739,0.00980987,0.0174132,0.0194453
 80 min,0.0261243,0.0234935,0.0400326,0.000647156,0.0103498,0.0274048,0.0141993,0.0170758,0.0223174
 90 min,0.044726,0.0215448,0.292862,0.00591668,0.000579994,0.0114416,0,0.010466,0.00731198
 100 min,0.038178,0.048054,0.308013,0.00502347,0,0.0123719,0,0.0113912,0.00642219
 110 min,0.0443598,0.033634,0.279696,0.00645224,0,0.0111672,0,0.00978793,0.00816821
