time,0,1,2,3,4,5,6,7,8
 0 min,0,0,0,0,0,0.00363281,0.00160219,0,0.00526544
 10 min,0,0,0,0,0,0.00405045,0.00319195,0,0.00868193
 20 min,0,0,0,0,0,0.00284229,0.001779,0,0.00284857
 30 min,0,0,0,0,0,0.0033773,0.00239442,0,0.00101649
 40 min,0,0,0,0,0,0.00228686,0.00167389,0,0.00392577
 50 min,0,0,0,0,0,0.00372451,0.00251555,0,0.00270609
 60 min,0,0,0,0,0,0.00425198,0.00165233,0,0.00430285
 70 min,0,0,0,0,0,0.00574415,0.000802422,0,0.00279411
 80 min,0,0,0,0,0,0.00398444,0.00166104,0,0.00360958
 90 min,0,0,0,0,0,0.00410212,0.00252652,0,0.00501588
 100 min,0,0.00158176,0,0,0,0.00533338,0.00314804,0,0.00440195
 110 min,0,0,0,0,0,0.00689224,0.00158718,0,0.00210963
 120 min,0,0,0,0,0,0.00441277,0.00209614,0,0.00449625
 130 min,0,0.00340695,0,0,0,0.00489383,0.00232205,0,0.00311751
 140 min,0,0.0087348,0,0,0,0.00537064,0.0025556,0,0.00500606
 150 min,0,0.00765228,0,0,0,0.00405974,0.00162291,0,0.00403951
 160 min,0,0.00670758,0,0,0,0.0053689,0.00168321,0,0.00453912
 170 min,0,0.00926256,0,0,0,0.00220598,0.00172063,0,0.00471002
 180 min,0,0.00605647,0,0,0,0.00761264,0.000947739,0,0.00198056
 190 min,0,0.00201514,0,0,0,0.00585547,0.00221837,0,0.0061095
 200 min,0,0.000204361,0,0,0,0.00671387,0.00183305,0,0.00398042
 210 min,0,0,0,0,0,0.00477785,0.00196571,0,0.00237317
 220 min,0,0.00186925,0,0,0,0.00337454,0.00225581,0,0.00117657
 230 min,0,0.0042997,0,0,0,0.00306067,0.00203435,0,0.00412906
 240 min,0,0.00218127,0,0,0,0.00514137,0.00110881,0,0.00426612
 250 min,0,0,0,0,0,0.00497014,0.00313306,0,0.00355377
 260 min,0,0,0,0,0,0.00337161,0.00145807,0,0.00466016
 270 min,0,0.000539764,0,0,0,0.00716361,0.00221695,0,0.00600885
 280 min,0,0.000121216,0,0,0,0.0060914,0.00239114,0,0.00236661
 290 min,0,0.00463171,0,0,0,0.00410938,0.00229315,0,0.00535678
 300 min,0,0,0,0,0,0.00685629,0.0010643,0,0.00386267
 310 min,0,0.00898248,0,0,0,0.00532904,0.00120902,0,0.00183832
 320 min,0,0.000596466,0,0,0,0.00587195,0.00450714,0,0.00363785
 330 min,0,0,0,0,0,0.00374078,0.00336377,0,0.00426208
 340 min,0,0,0,0,0,0.00687826,0.0025669,0,0.0029997
 350 min,0,0.00180179,0,0,0,0.00544742,0.00233643,0,0.00384695
 360 min,0,0,0,0,0,0.00573889,0.00218375,0,0.00233679
 370 min,0,0,0,0,0,0.00572705,0.00342764,0,0.00508218
 380 min,0,0.00118713,0,0,0,0.00436099,0.00121335,0,0.00465204
 390 min,0,4.27856E-5,0,0,0,0.00586783,0.00355649,0,0.00234155
 400 min,0,0.00949796,0,0,0,0.00753186,0.00161124,0,0.00316602
 410 min,0,0.00861444,0,0,0,0.00547543,0.000666779,0,0.00342636
 420 min,0,0.00271347,0,0,0,0.0040387,0.0011091,0,0.00700836
 430 min,0,0.00221878,0,0,0,0.00694562,0.00151712,0,0.00233221
 440 min,0,0,0,0,0,0.00346405,0.00263861,0,0.00359384
 450 min,0,0.000156708,0,0,0,0.00994388,0,0,0.00660428
 460 min,0,0.0133359,0,0,0,0.00955957,0,0,0.00193436
 470 min,0,0.00689685,0,0,0,0.00794986,0,0,0.00255182
