time,0,1,2,3,4,5,6,7,8
 0 min,0.0469408,0,0.302706,0,0,0.00544109,0.00545333,0.00520581,0.00627653
 10 min,0.0454559,0,0.314511,0,0,0.00561292,0.00576083,0.00608624,0.00609463
 20 min,0.0394,0,0.320799,0,0,0.00452439,0.00545419,0.00757344,0.00698731
 30 min,0.0260775,0.00903797,0.0563607,0.000930912,0.0123834,0.022586,0.00945027,0.0185986,0.0174718
 40 min,0.0304704,0.00289382,0.034588,0.00329396,0.00949053,0.0274095,0.0118586,0.0163629,0.0202838
 50 min,0.022944,0.0216113,0.0423408,0.00116225,0.00915765,0.0276311,0.01162,0.0202172,0.0139426
 60 min,0.0254373,0.0183746,0.0368765,5.05066E-5,0.0117732,0.0234572,0.0101271,0.0187786,0.0210171
 70 min,0.0253569,0.0251006,0.0311689,0.000586189,0.0118968,0.0257636,0.0109835,0.0210516,0.020836
 80 min,0.0249582,0.0354463,0.0265155,0.00103412,0.0109474,0.0297071,0.0113785,0.0187518,0.0178334
 90 min,0.0257061,0.0257016,0.0337536,0.00162157,0.0118871,0.0221387,0.0126193,0.0195306,0.02006
 100 min,0.0273721,0.0160164,0.0307153,0.000259415,0.00681585,0.0231486,0.0121005,0.0207485,0.0189353
 110 min,0.0278885,0.0187837,0.0333096,0.000200722,0.0105952,0.02493,0.0103806,0.0175439,0.0175817
 120 min,0.0260008,0.0134421,0.0439078,0.000496391,0.0117145,0.0253324,0.00960307,0.0204991,0.0152663
 130 min,0.027736,0.0291173,0.035668,0.000343506,0.0106602,0.0209174,0.0124666,0.0201566,0.0203734
 140 min,0.0273692,0.0164164,0.033756,0.00199786,0.00902234,0.0313681,0.0124532,0.0174356,0.0209026
 150 min,0.0267294,0.0268415,0.0330018,0.00195251,0.0101567,0.0238017,0.00876231,0.0183227,0.0191933
 160 min,0.0250384,0.0129103,0.0331664,0.00237605,0.0115438,0.0252702,0.010951,0.0191439,0.0261054
 170 min,0.0209302,0.0173729,0.0391613,0.000885361,0.00798554,0.0276039,0.0121898,0.0212917,0.0131282
 180 min,0.026201,0.0248098,0.0348929,0.000729965,0.00966842,0.0264235,0.0121159,0.0162413,0.0241119
 190 min,0.0273954,0.01971,0.0342867,0.00290476,0.00866179,0.0314026,0.0138839,0.015903,0.0240535
 200 min,0.023977,0.0367692,0.0347568,0,0.0111785,0.0267136,0.011529,0.0190011,0.014333
 210 min,0.0280714,0.0239612,0.033603,0,0.0116572,0.025487,0.0117244,0.0189971,0.0216679
 220 min,0.0248321,0.0195056,0.0349422,0.00158493,0.0138522,0.0222702,0.012337,0.0200972,0.0217121
 230 min,0.0270157,0.0218357,0.0340119,0.000461548,0.0129393,0.0259912,0.0091581,0.0193369,0.0183529
 240 min,0.0273761,0.00673124,0.0390445,0.00170671,0.00982483,0.0234396,0.00985973,0.0165354,0.0258353
 250 min,0.0264356,0.0196907,0.0386603,0.00134959,0.0102726,0.0291768,0.0113857,0.0155641,0.0220193
 260 min,0.0253387,0.0368344,0.0415313,0.00108612,0.0121182,0.0285952,0.0134292,0.020885,0.0186614
 270 min,0.0202889,0.041109,0.0237663,0.000415466,0.00898911,0.0288266,0.0130229,0.0150196,0.0232204
 280 min,0.0215778,0.0363163,0.0283344,0.0016698,0.00904214,0.0276604,0.00676978,0.0190058,0.0217427
 290 min,0.0196482,0.0277255,0.0391814,0.000703338,0.00913037,0.0299048,0.00931888,0.0200692,0.0131052
 300 min,0.0286622,0.0425364,0.0241322,0,0.00920361,0.0239453,0.00940189,0.0197389,0.0163852
 310 min,0.0226353,0.0462407,0.0317121,0.000489105,0.00925763,0.0288911,0.0093609,0.0137211,0.0210363
 320 min,0.0244213,0.039609,0.0349473,0.00178,0.00850781,0.0239422,0.0112634,0.0167336,0.0182903
 330 min,0.0267814,0.017671,0.0346098,0.000857727,0.010683,0.0228001,0.0108738,0.0193188,0.0187539
 340 min,0.0297716,0.0237069,0.0359045,0.000967255,0.00932022,0.0277439,0.00943134,0.0203352,0.0211105
 350 min,0.0277939,0.0161733,0.0437014,0.00062262,0.00970807,0.0223383,0.0125797,0.0169701,0.0150109
 360 min,0.0306738,0.0218159,0.0375429,0,0.00903357,0.0277049,0.00987335,0.0187025,0.0192578
 370 min,0.0284432,0.00998437,0.0423038,0,0.00986691,0.0277105,0.0133206,0.0206819,0.0206611
 380 min,0.0272556,0.0193164,0.0362944,0,0.0107809,0.0275347,0.00894067,0.0228813,0.0234385
 390 min,0.0252527,0.0351423,0.0280443,0.000905273,0.00941171,0.023674,0.0108622,0.0192804,0.0142493
 400 min,0.0219928,0.0220241,0.0358023,0.00215076,0.00854288,0.019827,0.0122526,0.0198507,0.0169579
 410 min,0.0267369,0.0236263,0.0413129,0.00214755,0.0067713,0.0249085,0.0122561,0.0188939,0.0194341
 420 min,0.0297476,0.0249064,0.0386598,0.00059021,0.00938739,0.0173921,0.0101642,0.021819,0.0167747
 430 min,0.025894,0.00396072,0.0319929,0.000476959,0.0122686,0.0312275,0.0116678,0.0200777,0.0290512
 440 min,0.0290616,0.00522519,0.0430744,0,0.011854,0.0305148,0.0099838,0.0156429,0.0161831
 450 min,0.0473837,0.0262163,0.2694,0.00675726,0.000172791,0.011026,0,0.00963583,0.00920294
 460 min,0.048888,0.0317689,0.309257,0.00677963,0,0.0107057,0,0.0105584,0.00496698
 470 min,0.0508187,0.00993457,0.306565,0.00964383,0,0.00997921,0,0.0100047,0.00725308
