time,0,1,2,3,4,5,6,7,8
 0 min,0.0576163,0,0.277263,0,0,0.00739607,0.00559709,0.0080399,0.00766635
 10 min,0.0400193,0,0.328155,0,0,0.00657681,0.00726249,0.00468533,0.00796321
 20 min,0.0526061,0,0.336346,0,0,0.00642027,0.0044853,0.00669635,0.00625143
 30 min,0.0226824,0.0117714,0.0455048,0.000576454,0.00892768,0.0310659,0.0124179,0.0176427,0.0184974
 40 min,0.0266195,0.00497238,0.0459458,0.000353874,0.0092963,0.0315749,0.0136647,0.0165155,0.0272149
 50 min,0.0213109,0.00529087,0.0334344,0.000295856,0.00885659,0.0331573,0.0115013,0.0201898,0.0203899
 60 min,0.024881,0.0153638,0.0353453,0.00134958,0.010102,0.0256141,0.0154852,0.0178609,0.0234673
 70 min,0.0253441,0.0221983,0.0349419,0.0023554,0.00931233,0.028479,0.0131656,0.0163815,0.0247846
 80 min,0.0274585,0.0212267,0.0267866,0,0.00907112,0.0287537,0.0148984,0.0161783,0.0309825
 90 min,0.0236156,0.0253745,0.0254566,0,0.0118459,0.0273186,0.00950766,0.0210458,0.0211321
 100 min,0.0249383,0.0197892,0.0222763,0.0015492,0.0104271,0.0311511,0.0138665,0.0194882,0.0248315
 110 min,0.0242334,0.0113623,0.0296776,0.000982537,0.0081301,0.0364647,0.0114814,0.0182687,0.0270569
 120 min,0.0269951,0.018341,0.0364861,0.00239527,0.0119644,0.0392455,0.0137628,0.023667,0.0208591
 130 min,0.0280452,0.0226284,0.0427334,0,0.00660345,0.0329971,0.0131965,0.0203142,0.0278588
 140 min,0.0266278,0.0152862,0.0362578,0,0.00989172,0.0303441,0.0124096,0.0206775,0.024803
 150 min,0.023896,0.0189802,0.0398153,0.00102182,0.0114626,0.0231573,0.0100661,0.0202976,0.0285958
 160 min,0.0269476,0.0112637,0.0307674,0.00170564,0.0094219,0.0290855,0.0141485,0.0140344,0.023746
 170 min,0.0264267,0.0290073,0.0373066,0.000443588,0.00801352,0.0353069,0.0134688,0.0161531,0.0171775
 180 min,0.0236894,0.0119574,0.0347368,0.000578064,0.0117411,0.0343454,0.0116918,0.0205887,0.0261174
 190 min,0.0232004,0.00328638,0.0396725,0,0.00775354,0.0321876,0.0116561,0.017721,0.0165302
 200 min,0.0271641,0.0177176,0.0349394,0.000816757,0.011462,0.0308004,0.0115226,0.02018,0.0274153
 210 min,0.0477154,0.032038,0.318451,0.0044109,0.000148911,0.0107329,0,0.010617,0.0116188
 220 min,0.0394811,0.0277717,0.338309,0.00803267,0,0.0108912,0,0.0141666,0.00964613
 230 min,0.039915,0.0100498,0.299335,0.00741959,0,0.0100068,0,0.0120448,0.00773869
 Sum,0.731429,0.355677,2.52994,0.0342872,0.174432,0.613073,0.245256,0.393455,0.482345
