time,type0,type1,type2,type3,type4,type5,type6,type7,type8,type9
0,0.0491472,0,0.277712,0,0,0.00652,0.00705544,0.00426876,0.0063894,0
10,0.0455232,0,0.360053,0,0,0.00699442,0.00567486,0.00660576,0.00536231,0
20,0.0455889,0,0.309147,0,0,0.00733742,0.00557901,0.00548115,0.00668591,0
30,0.0123672,0.00838136,0.0552497,0.000553631,0.00730953,0.0110275,0.0177873,0.0111569,0.00858956,0
40,0.0130646,0.0188802,0.016697,0,0.00319202,0.0140408,0.0158206,0.00976599,0.011427,0
50,0.0110141,0.0164948,0.0113265,0.000432827,0.00444076,0.0174658,0.0114493,0.00971954,0.0102175,0
60,0.0270991,0.0173696,0.0365092,0.000788494,0.00943873,0.0270215,0.0146399,0.0247858,0.0201714,0
70,0.0230577,0.0121463,0.0374368,0.00089814,0.00960417,0.0296816,0.00858416,0.0199771,0.0175623,0
80,0.0281088,0.0157347,0.0301791,0.00107131,0.0124269,0.0224961,0.0100731,0.022528,0.0226704,0
90,0.0282205,0.0230792,0.0295521,0.00110201,0.00981897,0.0240787,0.011104,0.0209987,0.0192062,0
100,0.0255949,0.0198221,0.0328889,0.000547134,0.00966414,0.0267678,0.0128498,0.0194674,0.0216163,0
110,0.0245572,0.0193861,0.0279973,0.00080983,0.0102696,0.0258843,0.0108178,0.0190044,0.0201042,0
120,0.0519639,0.0379929,0.0546232,0.000971863,0.0155685,0.0403733,0.00856328,0.0397518,0.039822,0
130,0.0448242,0.0451814,0.0658899,0.00150154,0.0251898,0.0452899,0.00927271,0.0314753,0.036824,0
140,0.0555201,0.0509744,0.0699726,0.00266022,0.0215508,0.0368403,0.00832085,0.0382822,0.0224876,0
150,0.0515563,0.0716885,0.0689794,0.000579071,0.0166813,0.041242,0.00886284,0.0316775,0.0323295,0
160,0.0406276,0.0849839,0.0579642,0.00337581,0.0175916,0.0416138,0.00805081,0.0334927,0.032125,0
170,0.0543064,0.0535857,0.0738138,0.00111766,0.0214747,0.0418968,0.0104527,0.0354005,0.0344747,0
180,0.0144893,0.0361953,0.024305,0,0.00489674,0.0116917,0.014539,0.0118326,0.0169228,0
190,0.0123348,0.0451781,0.0143443,0,0.00554099,0.0107395,0.0105964,0.0108392,0.00917845,0
200,0.0167814,0.0325798,0.0163644,0,0.00497508,0.0132902,0.0104399,0.0101648,0.00699893,0
210,0.0106626,0.0457218,0.0201195,0,0.00491187,0.0151796,0.0107732,0.0110005,0.00748581,0
220,0.0112918,0.0224785,0.0161952,0,0.00498439,0.0130927,0.0104078,0.0101715,0.00782225,0
230,0.0119016,0.039617,0.0170947,0.00100969,0.00679248,0.0120014,0.0122667,0.00866789,0.00868968,0
240,0.0275943,0.0560527,0.0308939,0,0.0147659,0.0273611,0.0120085,0.019453,0.018787,0
250,0.0247536,0.059634,0.0295571,0.00217067,0.0111787,0.0258865,0.012936,0.0174345,0.0116595,0
260,0.0297744,0.0365007,0.0309746,0.000461609,0.0089866,0.0206404,0.007651,0.0219858,0.0204694,0
270,0.0304369,0.0375468,0.037711,0.00133289,0.00776996,0.0253963,0.0122571,0.0208075,0.020971,0
280,0.027466,0.0396943,0.0299056,0.00100565,0.0148938,0.0255226,0.0112115,0.0219788,0.0222754,0
290,0.0308162,0.0511251,0.0319613,0.00211527,0.0118123,0.0290263,0.0108542,0.0189748,0.0141526,0
300,0.050951,0.0642599,0.0528735,0.00178009,0.0241057,0.0399884,0.0108825,0.0361331,0.0328608,0
310,0.0479428,0.0584875,0.0624123,0.000761261,0.0220186,0.0446332,0.00989819,0.0342733,0.0365547,0
320,0.0539976,0.0582012,0.0639616,0.00123486,0.0197186,0.0416606,0.0109471,0.0327057,0.0319381,0
330,0.0503094,0.0478467,0.0691677,0,0.020541,0.0545574,0.00999521,0.0345651,0.0302249,0
340,0.0505812,0.0584822,0.0579778,0.00287256,0.0255309,0.0467032,0.00948025,0.038218,0.026197,0
350,0.0581073,0.0615655,0.0820588,0.00261557,0.0181008,0.0425108,0.0115868,0.0370152,0.0333151,0
360,0.0127266,0.0732888,0.0234018,0.00164969,0.00922977,0.012255,0.011238,0.00979858,0.00598743,0
370,0.0129226,0.0460912,0.0205768,0,0.00888062,0.0124341,0.00984357,0.00891562,0.0173911,0
380,0.0139181,0.0390337,0.00661292,0.000900055,0.00569528,0.0163362,0.0130895,0.00850778,0.0129873,0
390,0.0151075,0.0272044,0.0229864,0.000457092,0.00467728,0.0127831,0.0132184,0.0113671,0.00834473,0
400,0.0120172,0.033007,0.0174928,0.000615662,0.0059863,0.0144601,0.0127881,0.0138493,0.0112418,0
410,0.0148121,0.0450268,0.0300026,0.000641327,0.00350259,0.0165686,0.0092991,0.00790192,0.00918164,0
420,0.023244,0.0339064,0.0480886,0.00148065,0.0116064,0.0248774,0.00797012,0.0206262,0.0198829,0
430,0.0290972,0.0358452,0.0396619,0.00126495,0.00908844,0.0277539,0.0110029,0.0195393,0.0176964,0
440,0.025773,0.0614008,0.0336314,0.00157629,0.0125282,0.0242242,0.00735559,0.0175909,0.014447,0
450,0.0491535,0.0452161,0.298533,0.0021152,0,0.0153863,0.000233154,0.0098728,0.00701001,0
460,0.0505795,0.0193573,0.311193,0.00559738,0,0.0105865,0,0.00911554,0.00617325,0
470,0.0514203,0.00846927,0.289913,0.00677005,0,0.0125849,0,0.0130674,0.00365375,0
