,Type 0,,Type 1,,Type 2,,Type 3,,Type 4,,Type 5,,Type 6,,Type 7,,Type 8,,
Time (min),Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,
0,0.0491472,0.0337705,0,0,0.277712,0.176973,0,0,0,0,0.00652,0.0158903,0.00705544,0.0127497,0.00426876,0.00820002,0.0063894,0.0182775,
10,0.0455232,0.0386502,0,0,0.360053,0.178611,0,0,0,0,0.00699442,0.0156474,0.00567486,0.0109457,0.00660576,0.0129323,0.00536231,0.0151715,
20,0.0455889,0.0367379,0,0,0.309147,0.205663,0,0,0,0,0.00733742,0.0158438,0.00557901,0.0114361,0.00548115,0.0117451,0.00668591,0.0193728,
30,0.0123672,0.0161744,0.00838136,0.0592207,0.0552497,0.081605,0.000553631,0.0055363,0.00730953,0.0174022,0.0110275,0.0187533,0.0177873,0.0231823,0.0111569,0.0164029,0.00858956,0.0200784,
40,0.0130646,0.015949,0.0188802,0.133065,0.016697,0.0440125,0,0,0.00319202,0.00915779,0.0140408,0.0207145,0.0158206,0.0195274,0.00976599,0.0120391,0.011427,0.0305415,
50,0.0110141,0.01607,0.0164948,0.115625,0.0113265,0.0388842,0.000432827,0.00432827,0.00444076,0.0124174,0.0174658,0.0256014,0.0114493,0.0140918,0.00971954,0.0152906,0.0102175,0.0312862,
60,0.0270991,0.0252138,0.0173696,0.0898529,0.0365092,0.0631887,0.000788494,0.00558102,0.00943873,0.0186189,0.0270215,0.029875,0.0146399,0.0196989,0.0247858,0.0232965,0.0201714,0.0394656,
70,0.0230577,0.0238709,0.0121463,0.07136,0.0374368,0.0674181,0.00089814,0.00898139,0.00960417,0.0216682,0.0296816,0.0318009,0.00858416,0.0132373,0.0199771,0.0212648,0.0175623,0.026557,
80,0.0281088,0.0281155,0.0157347,0.0929665,0.0301791,0.066725,0.00107131,0.00763386,0.0124269,0.0215492,0.0224961,0.026145,0.0100731,0.0164104,0.022528,0.0244605,0.0226704,0.0386133,
90,0.0282205,0.029113,0.0230792,0.122281,0.0295521,0.0588885,0.00110201,0.00929693,0.00981897,0.0163511,0.0240787,0.0290542,0.011104,0.0177596,0.0209987,0.0231583,0.0192062,0.0322629,
100,0.0255949,0.0283482,0.0198221,0.123406,0.0328889,0.0640407,0.000547134,0.00547134,0.00966414,0.0186275,0.0267678,0.0270493,0.0128498,0.0184018,0.0194674,0.0195925,0.0216163,0.0390678,
110,0.0245572,0.0237948,0.0193861,0.103981,0.0279973,0.0561855,0.00080983,0.00809829,0.0102696,0.0178992,0.0258843,0.0291159,0.0108178,0.0179612,0.0190044,0.0192418,0.0201042,0.0310751,
120,0.0519639,0.0387256,0.0379929,0.138507,0.0546232,0.0855995,0.000971863,0.00770732,0.0155685,0.0211085,0.0403733,0.0351845,0.00856328,0.0137718,0.0397518,0.0301841,0.039822,0.0534176,
130,0.0448242,0.036513,0.0451814,0.163724,0.0658899,0.0852463,0.00150154,0.0105552,0.0251898,0.0298042,0.0452899,0.0430633,0.00927271,0.0142553,0.0314753,0.0268808,0.036824,0.0443824,
140,0.0555201,0.0487287,0.0509744,0.199694,0.0699726,0.0841038,0.00266022,0.0137427,0.0215508,0.0262446,0.0368403,0.0336393,0.00832085,0.0178769,0.0382822,0.0296742,0.0224876,0.0304984,
150,0.0515563,0.039783,0.0716885,0.246275,0.0689794,0.100973,0.000579071,0.00579071,0.0166813,0.0210703,0.041242,0.0342701,0.00886284,0.0138197,0.0316775,0.0283083,0.0323295,0.0464643,
160,0.0406276,0.0338428,0.0849839,0.24509,0.0579642,0.0877066,0.00337581,0.0207365,0.0175916,0.0282378,0.0416138,0.0388526,0.00805081,0.0122549,0.0334927,0.0291098,0.032125,0.0482119,
170,0.0543064,0.0422186,0.0535857,0.190733,0.0738138,0.101256,0.00111766,0.00818619,0.0214747,0.0251635,0.0418968,0.0359532,0.0104527,0.0188231,0.0354005,0.0267142,0.0344747,0.0470111,
180,0.0144893,0.017438,0.0361953,0.175365,0.024305,0.0615035,0,0,0.00489674,0.0141957,0.0116917,0.0193673,0.014539,0.0215111,0.0118326,0.015042,0.0169228,0.0358082,
190,0.0123348,0.0187455,0.0451781,0.199367,0.0143443,0.0417145,0,0,0.00554099,0.0137372,0.0107395,0.0190247,0.0105964,0.0184543,0.0108392,0.0153451,0.00917845,0.0249814,
200,0.0167814,0.0242288,0.0325798,0.172925,0.0163644,0.0493153,0,0,0.00497508,0.0115196,0.0132902,0.0222058,0.0104399,0.0151113,0.0101648,0.0140225,0.00699893,0.0235929,
210,0.0106626,0.0165057,0.0457218,0.195553,0.0201195,0.0516525,0,0,0.00491187,0.0152601,0.0151796,0.0228194,0.0107732,0.0165074,0.0110005,0.0147784,0.00748581,0.0243541,
220,0.0112918,0.0161082,0.0224785,0.141668,0.0161952,0.0501998,0,0,0.00498439,0.0130905,0.0130927,0.0215066,0.0104078,0.0153017,0.0101715,0.0138738,0.00782225,0.0212133,
