Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, Sum
Utilization, 0, 0.0606211, 0.0974512, 0.115059, 0.0130157, 0, 0.0328045, 0.0237038, 0.0134308, 0, 0, 0, 0, 0.356086
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.871347, 1, 1, 1, 3.87135
, 2, 0.0301991, 0.427013, 0.00281734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.460029
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0.0105492, 0, 0, 0, 0, 0.0105492
, 5, 0.0475608, 0, 0.0138472, 0.0489773, 0.0372292, 0.0783737, 0.0586048, 0.0570984, 0, 0, 0, 0, 0.341691
, 6, 0.00328627, 0, 0, 0.0062664, 0.0613327, 0.00508957, 0.00916672, 0.00830689, 0, 0, 0, 0, 0.0934485
, 7, 0, 0, 0.0115368, 0.0235229, 0.0157726, 0.0142273, 0, 0.0256737, 0, 0, 0, 0, 0.0907333
, 8, 0, 0, 0.00298214, 0, 0, 0.00594101, 0.0404968, 0, 0, 0, 0, 0, 0.04942
, Sum, 0.141667, 0.524464, 0.146242, 0.0917824, 0.114334, 0.136436, 0.131972, 0.115059, 0.871347, 1, 1, 1, 5.2733
Service Time, 0, 0.606211, 0.974512, 1.15059, 0.130157, 0, 0.328045, 0.237038, 0.134308, 0, 0, 0, 0, 3.56086
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 8.71347, 10, 10, 10, 38.7135
, 2, 0.301991, 4.27013, 0.0281734, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.60029
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0.105492, 0, 0, 0, 0, 0.105492
, 5, 0.475608, 0, 0.138472, 0.489773, 0.372292, 0.783737, 0.586048, 0.570984, 0, 0, 0, 0, 3.41691
, 6, 0.0328627, 0, 0, 0.062664, 0.613327, 0.0508957, 0.0916672, 0.0830688, 0, 0, 0, 0, 0.934485
, 7, 0, 0, 0.115368, 0.235229, 0.157726, 0.142273, 0, 0.256737, 0, 0, 0, 0, 0.907333
